date,country,cases,deaths,iso
2020-04-04,Afghanistan,299,7,AFG
2020-04-04,Albania,333,20,ALB
2020-04-04,Algeria,1251,130,DZA
2020-04-04,Andorra,466,17,AND
2020-04-04,Angola,10,2,AGO
2020-04-04,Antigua and Barbuda,15,0,ATG
2020-04-04,Argentina,1451,43,ARG
2020-04-04,Armenia,770,7,ARM
2020-03-19,Aruba,4,0,ABW
2020-04-04,Australia,5550,30,AUS
2020-04-04,Austria,11781,186,AUT
2020-04-04,Azerbaijan,521,5,AZE
2020-04-04,Bahamas,28,4,BHS
2020-03-21,"Bahamas, The",4,0,BHS
2020-04-04,Bahrain,688,4,BHR
2020-04-04,Bangladesh,70,8,BGD
2020-04-04,Barbados,52,0,BRB
2020-04-04,Belarus,440,5,BLR
2020-04-04,Belgium,18431,1283,BEL
2020-04-04,Belize,4,0,BLZ
2020-04-04,Benin,16,0,BEN
2020-04-04,Bhutan,5,0,BTN
2020-04-04,Bolivia,139,10,BOL
2020-04-04,Bosnia and Herzegovina,624,21,BIH
2020-04-04,Botswana,4,1,BWA
2020-04-04,Brazil,10360,445,BRA
2020-04-04,Brunei,135,1,BRN
2020-04-04,Bulgaria,503,17,BGR
2020-04-04,Burkina Faso,318,16,BFA
2020-04-04,Burma,21,1,MMR
2020-04-04,Burundi,3,0,BDI
2020-04-04,Cabo Verde,7,1,CPV
2020-04-04,Cambodia,114,0,KHM
2020-04-04,Cameroon,555,9,CMR
2020-04-04,Canada,12978,218,CAN
2020-03-21,Cape Verde,1,0,CPV
2020-03-15,Cayman Islands,1,0,CYM
2020-04-04,Central African Republic,8,0,CAF
2020-04-04,Chad,9,0,TCD
2020-03-10,Channel Islands,1,0,NA
2020-04-04,Chile,4161,27,CHL
2020-04-04,China,82543,3330,CHN
2020-04-04,Colombia,1406,32,COL
2020-04-04,Congo (Brazzaville),22,2,COG
2020-04-04,Congo (Kinshasa),154,18,COD
2020-04-04,Costa Rica,435,2,CRI
2020-04-04,Cote d'Ivoire,245,1,CIV
2020-04-04,Croatia,1126,12,HRV
2020-03-23,Cruise Ship,712,8,NA
2020-04-04,Cuba,288,6,CUB
2020-03-15,Curacao,1,0,CUW
2020-04-04,Cyprus,426,11,CYP
2020-04-04,Czechia,4472,59,CZE
2020-04-04,Denmark,4269,161,DNK
2020-04-04,Diamond Princess,712,11,NA
2020-04-04,Djibouti,50,0,DJI
2020-04-04,Dominica,14,0,DMA
2020-04-04,Dominican Republic,1488,68,DOM
2020-03-21,East Timor,1,0,TLS
2020-04-04,Ecuador,3465,172,ECU
2020-04-04,Egypt,1070,71,EGY
2020-04-04,El Salvador,56,3,SLV
2020-04-04,Equatorial Guinea,16,0,GNQ
2020-04-04,Eritrea,29,0,ERI
2020-04-04,Estonia,1039,13,EST
2020-04-04,Eswatini,9,0,NA
2020-04-04,Ethiopia,38,0,ETH
2020-03-10,Faroe Islands,2,0,FRO
2020-04-04,Fiji,12,0,FJI
2020-04-04,Finland,1882,25,FIN
2020-04-04,France,90848,7574,FRA
2020-03-21,French Guiana,18,0,GUF
2020-04-04,Gabon,21,1,GAB
2020-04-04,Gambia,4,1,GMB
2020-04-04,Georgia,162,1,GEO
2020-04-04,Germany,96092,1444,DEU
2020-04-04,Ghana,205,5,GHA
2020-03-10,Gibraltar,1,0,GIB
2020-04-04,Greece,1673,68,GRC
2020-03-21,Greenland,0,0,GRL
2020-04-04,Grenada,12,0,GRD
2020-03-21,Guadeloupe,53,0,GLP
2020-03-21,Guam,0,0,GUM
2020-04-04,Guatemala,61,2,GTM
2020-03-21,Guernsey,0,0,GGY
2020-04-04,Guinea,111,0,GIN
2020-04-04,Guinea-Bissau,18,0,GNB
2020-04-04,Guyana,23,4,GUY
2020-04-04,Haiti,20,0,HTI
2020-04-04,Holy See,7,0,VAT
2020-04-04,Honduras,264,15,HND
2020-03-10,Hong Kong,120,3,HKG
2020-04-04,Hungary,678,32,HUN
2020-04-04,Iceland,1417,4,ISL
2020-04-04,India,3082,86,IND
2020-04-04,Indonesia,2092,191,IDN
2020-04-04,Iran,55743,3452,IRN
2020-04-04,Iraq,878,56,IRQ
2020-04-04,Ireland,4604,137,IRL
2020-04-04,Israel,7851,44,ISR
2020-04-05,Italy,128948,15887,ITA
2020-01-27,Ivory Coast,1,0,CIV
2020-04-04,Jamaica,53,3,JAM
2020-04-04,Japan,3139,77,JPN
2020-03-21,Jersey,0,0,JEY
2020-04-04,Jordan,323,5,JOR
2020-04-04,Kazakhstan,531,5,KAZ
2020-04-04,Kenya,126,4,KEN
2020-04-04,Kosovo,135,1,XKS
2020-04-04,Kuwait,479,1,KWT
2020-04-04,Kyrgyzstan,144,1,KGZ
2020-04-04,Laos,10,0,LAO
2020-04-04,Latvia,509,1,LVA
2020-04-04,Lebanon,520,17,LBN
2020-04-04,Liberia,10,1,LBR
2020-04-04,Libya,18,1,LBY
2020-04-04,Liechtenstein,77,1,LIE
2020-04-04,Lithuania,771,11,LTU
2020-04-04,Luxembourg,2729,31,LUX
