Nombres de la población. 2018
Catalunya
"Fuente: Idescat, a partir del Registro de población de Cataluña."
Nota: ‰ calculado sobre el total de la población en la década seleccionada.
Nota: Sólo se muestran los nombres de frecuencia igual o superior a 4.
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/?lang=es
Pos.,Sexo,Nombre,Ranking. Frecuencia,Ranking. ‰
00001,H,ANTONIO,97965,12.73
00002,M,MARIA/MARÍA,97477,12.67
00003,H,JOSÉ,94960,12.34
00004,M,MONTSERRAT,80257,10.43
00005,H,FRANCISCO,74105,9.63
00006,H,JORDI,73356,9.53
00007,M,MARÍA DEL CARMEN,72081,9.37
00008,H,MANUEL,69290,9.01
00009,H,DAVID,68860,8.95
00010,H,JUAN,65731,8.54
00011,M,CARMEN,56012,7.28
00012,H,MARC,53894,7.00
00013,M,MARTA,53448,6.95
00014,M,NÚRIA/NURIA,50742,6.59
00015,M,LAURA,48821,6.35
00016,H,DANIEL,48309,6.28
00017,M,JOSEFA,45321,5.89
00018,H,CARLOS,44282,5.76
00019,H,JOAN,43444,5.65
00020,M,CRISTINA,43043,5.59
00021,M,MARIA TERESA/MARÍA TERESA,42083,5.47
00022,M,ISABEL,41287,5.37
00023,H,JOSEP,40205,5.23
00024,H,JAVIER,38072,4.95
00025,M,ANA MARIA/ANA MARÍA,36517,4.75
00026,H,RAMON/RAMÓN,36331,4.72
00027,M,ANNA,35435,4.61
00028,M,ANA,35173,4.57
00029,H,JORGE,34029,4.42
00030,M,ANTÒNIA/ANTONIA,33837,4.40
00031,M,FRANCISCA,33618,4.37
00032,H,JOSÉ MARIA/JOSÉ MARÍA,32596,4.24
00033,H,PEDRO,32228,4.19
00034,M,DOLORES,32132,4.18
00035,H,MIGUEL,32034,4.16
00036,M,MARIA DOLORES/MARÍA DOLORES,31352,4.07
00037,H,ALBERT,30893,4.02
00038,H,XAVIER,30688,3.99
00039,M,ROSA,29229,3.80
00040,M,SÍLVIA/SILVIA,28905,3.76
00041,H,JOSÉ ANTONIO,28421,3.69
00042,H,RAFAEL,28033,3.64
00043,H,FRANCISCO JAVIER,28015,3.64
00044,H,SERGIO,27798,3.61
00045,M,JÚLIA/JULIA,27251,3.54
00046,H,ALEJANDRO,26767,3.48
00047,M,MARIA DEL PILAR/MARÍA DEL PILAR,26156,3.40
00048,M,PILAR,26133,3.40
00049,M,ROSA MARIA/ROSA MARÍA,26021,3.38
00050,H,ÒSCAR/ÓSCAR,25911,3.37
00051,H,JOSÉ LUIS,25650,3.33
00052,H,LUIS,25530,3.32
00053,M,TERESA,25526,3.32
00054,M,LAIA,25458,3.31
00055,M,SARA,25182,3.27
00056,M,MERCEDES,24945,3.24
00057,H,ÀNGEL/ÁNGEL,24805,3.22
00058,M,PAULA,24434,3.18
00059,M,MARIA ISABEL/MARÍA ISABEL,23216,3.02
00060,H,ÀLEX/ÁLEX,23190,3.01
00061,M,MÒNICA/MÓNICA,22829,2.97
00062,H,VÍCTOR,22618,2.94
00063,M,ALBA,22499,2.92
00064,H,ALBERTO,22369,2.91
00065,M,EVA,22041,2.86
00066,H,IVAN/IVÁN,21503,2.79
00067,H,PAU,21470,2.79
00068,H,JESÚS,21096,2.74
00069,M,SANDRA,21064,2.74
00070,M,CARLA,21001,2.73
00071,M,MARIA ROSA/MARÍA ROSA,20473,2.66
00072,M,MIREIA,20281,2.64
00073,H,JAUME,20232,2.63
00074,M,SÒNIA/SONIA,20169,2.62
00075,M,CONCEPCIÓN,20129,2.62
00076,H,MOHAMED,19981,2.60
00077,M,RAQUEL,19923,2.59
00078,H,RAÜL/RAÚL,19766,2.57
00079,M,MARIA ÁNGELES/MARÍA ÁNGELES,19756,2.57
00080,H,POL,19572,2.54
00081,H,FERNANDO,19463,2.53
00082,M,JUANA,19217,2.50
00083,H,SERGI,18919,2.46
00084,M,MARINA,18758,2.44
00085,H,GERARD,18473,2.40
00086,M,ELENA,18425,2.39
00087,H,JOAQUÍN,18025,2.34
00088,H,JAIME,18019,2.34
00089,H,MIGUEL ÀNGEL/MIGUEL ÁNGEL,17839,2.32
00090,H,ORIOL,17774,2.31
00091,M,LUCÍA,17645,2.29
00092,H,ARNAU,17383,2.26
00093,M,GEMMA,17323,2.25
00094,M,YOLANDA,17052,2.22
00095,M,MARÍA JOSÉ,16874,2.19
00096,H,ERIC/ÈRIC/ÉRIC,16800,2.18
00097,M,ESTHER,16770,2.18
00098,M,SUSANA,16644,2.16
00099,M,MANUELA,16578,2.15
00100,H,ENRIQUE,16522,2.15
00101,M,ROSARIO,16406,2.13
00102,H,JOSÉ MANUEL,16371,2.13
00103,M,CLÀUDIA/CLAUDIA,16172,2.10
00104,H,FRANCESC,16117,2.09
00105,H,JUAN JOSÉ,16003,2.08
00106,M,ANDREA,15902,2.07
00107,H,JUAN CARLOS,15794,2.05
00108,H,JOSEP MARIA,15708,2.04
00109,H,SANTIAGO,15563,2.02
00110,M,IRENE,15355,2.00
00111,M,MARIA LUISA/MARÍA LUISA,15243,1.98
00112,H,MIQUEL,14934,1.94
00113,H,RUBÈN/RUBÉN,14859,1.93
00114,H,SALVADOR,14688,1.91
00115,H,ROGER,14620,1.90
00116,M,OLGA,14433,1.88
00117,M,MARGARITA,14396,1.87
00118,H,ADRIÀ,14187,1.84
00119,M,ENCARNACIÓN,14134,1.84
00120,H,JUAN ANTONIO,13911,1.81
00121,M,NATÀLIA/NATALIA,13846,1.80
00122,H,PERE,13754,1.79
00123,M,MÍRIAM/MIRIAM,13714,1.78
00124,M,LÍDIA/LIDIA,13599,1.77
00125,H,ANDRÉS,13467,1.75
00126,H,ADRIÁN,13449,1.75
00127,H,MARTÍ,13369,1.74
00128,M,ARIADNA,13253,1.72
00129,H,PABLO,13015,1.69
00130,H,LLUÍS,12948,1.68
00131,M,MARTINA,12929,1.68
00132,M,JUDIT,12433,1.62
00133,H,EDUARDO,12316,1.60
00134,H,JOEL,12177,1.58
00135,H,CARLES,12145,1.58
00136,H,ANTONI,11857,1.54
00137,M,PATRÍCIA/PATRICIA,11592,1.51
00138,H,DIEGO,11368,1.48
00139,H,GUILLEM,11365,1.48
00140,H,JUAN MANUEL,11307,1.47
00141,H,ALEIX,11280,1.47
00142,M,ELISABET,11224,1.46
00143,H,CRISTIÁN,11021,1.43
00144,M,AINA,11006,1.43
00145,H,VICENTE,10865,1.41
00146,H,RICARDO,10843,1.41
00147,M,ÀNGELA/ÁNGELA,10802,1.40
00148,M,ALÍCIA/ALICIA,10764,1.40
00149,M,GLÒRIA/GLORIA,10723,1.39
00150,H,ENRIC,10420,1.35
00151,H,FERRAN,10207,1.33
00152,M,JUDITH,10005,1.30
00153,M,CLARA,9936,1.29
00154,M,MERCÈ,9935,1.29
00155,M,JOSEFINA,9921,1.29
00156,H,JAN,9901,1.29
00157,M,CAROLINA,9899,1.29
00158,H,GABRIEL,9827,1.28
00159,M,EMMA,9807,1.27
00160,H,MARIO,9784,1.27
00161,M,ESTER,9749,1.27
00162,M,BERTA,9730,1.26
00163,H,EDUARD,9450,1.23
00164,M,MERITXELL,9358,1.22
00165,M,FÀTIMA/FÁTIMA,9294,1.21
00166,M,MARIA JESÚS/MARÍA JESÚS,9209,1.20
00167,H,ALFONSO,9165,1.19
00168,M,ÁNGELES,9148,1.19
00169,H,HUGO,9098,1.18
00170,H,MARCOS,9029,1.17
00171,M,VERÒNICA/VERÓNICA,8984,1.17
00172,M,LOURDES,8950,1.16
00173,H,EMILIO,8947,1.16
00174,H,BIEL,8697,1.13
00175,M,ROSER,8692,1.13
00176,M,MARIA JOSEFA/MARÍA JOSEFA,8659,1.13
00177,M,MARIA DOLORS/MARÍA DOLORS,8650,1.12
00178,H,NIL,8584,1.12
00179,M,MARIA MERCEDES/MARÍA MERCEDES,8564,1.11
00180,H,TOMÀS/TOMÁS,8464,1.10
00181,M,VICTÒRIA/VICTORIA,8344,1.08
00182,H,AGUSTÍN,8231,1.07
00183,M,MARIA ANTONIA/MARÍA ANTONIA,8226,1.07
00183,M,MARIA DEL MAR/ MARÍA DEL MAR,8226,1.07
00185,M,NOÈLIA/NOELIA,8095,1.05
00186,M,BEATRIZ,8056,1.05
00187,M,MARIA DEL CARME/MARÍA DEL CARME,7915,1.03
00188,M,MAGDALENA,7784,1.01
00189,M,SOFÍA/SOFIA,7705,1.00
00190,M,CARME,7651,0.99
00191,M,MARIA MONTSERRAT/MARÍA MONTSERRAT,7600,0.99
00192,H,JOAQUIM,7532,0.98
00193,H,ÁLVARO,7409,0.96
00194,H,HÈCTOR/HÉCTOR,7375,0.96
00195,H,IGNACIO,7362,0.96
00196,M,EMÍLIA/EMILIA,7338,0.95
00197,M,NEREA,7335,0.95
00198,M,INMACULADA,7324,0.95
00199,H,FRANCISCO JOSÉ,7305,0.95
00200,M,ANNA MARIA/ANNA MARÍA,7170,0.93
00201,M,LUISA,6994,0.91
00202,M,VANESSA,6987,0.91
00203,M,NOA,6942,0.90
00204,H,IKER,6934,0.90
00205,M,JÈSSICA/JESSICA,6928,0.90
00206,H,ISAAC,6820,0.89
00207,H,ISMAEL,6789,0.88
00208,M,MARIONA,6725,0.87
00209,M,INÉS,6683,0.87
00210,M,LORENA,6669,0.87
00211,H,FRANCESC XAVIER,6663,0.87
00212,M,AINHOA,6633,0.86
00213,M,NOEMÍ/NOEMI,6599,0.86
00214,H,JULIÁN,6577,0.85
00215,H,ROBERTO,6566,0.85
00216,H,NICOLÀS/NICOLÁS,6490,0.84
00217,M,EVA MARIA/EVA MARÍA,6452,0.84
00218,M,CATALINA,6416,0.83
00219,M,JOANA,6383,0.83
00220,H,AITOR,6377,0.83
00221,M,AURORA,6334,0.82
00222,H,AHMED,6324,0.82
00223,M,JANA,6301,0.82
00224,H,SEBASTIAN/SEBASTIÁN,6263,0.81
00225,M,DANIELA,6243,0.81
00226,M,MAR,6231,0.81
00227,H,GUILLERMO,6193,0.80
00228,M,MARIA ELENA/MARÍA ELENA,6086,0.79
00229,M,NEUS,6066,0.79
00230,M,DOLORS,6065,0.79
00231,M,HELENA,6064,0.79
00232,H,RICARD,6061,0.79
00233,M,ABRIL,5975,0.78
00234,H,JULIO,5956,0.77
00235,H,FÈLIX/FÉLIX,5895,0.77
00236,H,MOHAMMED,5798,0.75
00237,M,RAMONA,5770,0.75
00238,H,MANEL,5713,0.74
00239,H,DOMINGO,5659,0.74
00240,H,MARTÍN,5619,0.73
00241,M,CONSUELO,5605,0.73
00242,M,MARIA VICTÒRIA/MARÍA VICTORIA,5594,0.73
00243,H,LUCAS,5546,0.72
00244,M,ONA,5539,0.72
00245,M,BLANCA,5477,0.71
00246,H,ADAM,5466,0.71
00247,M,VANESA,5429,0.71
00248,M,AMPARO,5413,0.70
00249,H,IZAN,5404,0.70
00250,M,ALEXANDRA,5356,0.70
00251,M,CARLOTA,5315,0.69
00252,M,TÀNIA/TANIA,5258,0.68
00253,M,MARIA CRISTINA/MARÍA CRISTINA,5251,0.68
00254,M,ADRIANA,5210,0.68
00255,M,ROCÍO,5205,0.68
00256,M,ARACELI,5149,0.67
00257,M,TRINIDAD,5145,0.67
00258,H,ANDREU,5096,0.66
00259,M,MARIA ÀNGELS,5091,0.66
00260,M,MARIA ASUNCIÓN/MARÍA ASUNCIÓN,5039,0.65
00261,H,ESTEBAN,5005,0.65
00262,H,DÍDAC,4911,0.64
00263,M,ASUNCIÓN,4907,0.64
00264,M,AIDA/AÏDA/AÍDA,4844,0.63
00265,M,ELISABETH,4797,0.62
00266,M,PURIFICACIÓN,4780,0.62
00267,H,EDGAR,4772,0.62
00268,M,EULÀLIA/EULALIA,4749,0.62
00269,M,ELVIRA,4738,0.62
00270,M,ANA ISABEL,4721,0.61
00271,M,CÈLIA/CELIA,4718,0.61
00272,H,BERNAT,4676,0.61
00273,M,ESPERANZA,4663,0.61
00274,H,ABEL,4640,0.60
00275,H,JOSÉ MIGUEL,4630,0.60
00276,H,ALEXANDRE,4604,0.60
00277,M,MARIA LOURDES/MARÍA LOURDES,4598,0.60
00278,M,MATILDE,4564,0.59
00279,M,VALENTINA,4548,0.59
00280,H,ALFREDO,4537,0.59
00281,H,MARIANO,4479,0.58
00282,H,FELIPE,4477,0.58
00283,M,NATIVIDAD,4475,0.58
00284,M,ELISA,4469,0.58
00285,H,BRUNO,4461,0.58
00286,H,MUHAMMAD,4442,0.58
00287,M,ESTEFANIA/ESTEFANÍA,4434,0.58
00288,H,OMAR,4423,0.57
00289,H,AARON/AARÓN,4414,0.57
00290,M,REMEDIOS,4381,0.57
00291,H,JUAN FRANCISCO,4363,0.57
00292,M,NORA,4287,0.56
00293,H,JOSÉ RAMON/JOSÉ RAMÓN,4265,0.55
00294,H,JONATAN/JONATÁN,4255,0.55
00295,H,SAMUEL,4226,0.55
00296,M,GISELA,4225,0.55
00297,H,JONATHAN,4173,0.54
00298,H,CRISTÓBAL,4162,0.54
00299,M,NÀDIA/NADIA,4153,0.54
00300,H,ERIK,4127,0.54
00301,M,ÍNGRID,4122,0.54
00302,H,YOUSSEF,4107,0.53
00303,M,JOAQUINA,4094,0.53
00304,H,MARCEL,4048,0.53
00305,M,MARIA MERCÈ/MARÍA MERCÈ,4041,0.53
00306,M,RAFAELA,4037,0.52
00307,M,NIEVES,4022,0.52
00308,H,ELOI,3949,0.51
00308,M,GEORGINA,3949,0.51
00310,M,ADELA,3930,0.51
00311,H,IGNASI,3916,0.51
00312,H,CÈSAR/CÉSAR,3897,0.51
00313,M,MARIA ROSARIO/MARÍA ROSARIO,3878,0.50
00314,H,CHRISTIAN,3875,0.50
00315,M,SOLEDAD,3836,0.50
00316,H,LORENZO,3830,0.50
00317,H,ROBERT,3751,0.49
00318,M,ALEJANDRA,3736,0.49
00319,H,IAN,3727,0.48
00320,M,JENNIFER,3725,0.48
00321,M,MARIA CINTA/MARÍA CINTA,3705,0.48
00322,M,ENRIQUETA,3690,0.48
00323,M,MARIA NIEVES/MARÍA NIEVES,3659,0.48
00324,H,KEVIN,3648,0.47
00325,M,MARIA CONCEPCIÓN/MARÍA CONCEPCIÓN,3588,0.47
