date,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,pcr_non_cum,rdt_non_cum,suspect_cases_non_cum,confirmed_cases_non_cum,total_cases_non_cum,pcr,rdt,suspect_cases,confirmed_cases,total_cases,pop,incidencia_per_100k
2020-02-25,13,Barcelonès,08019,Barcelona,0,0,0,0,0,0,0,0,0,0,1611013,0
2020-02-26,13,Barcelonès,08019,Barcelona,0,0,1,0,1,0,0,1,0,1,1611013,0
2020-02-27,13,Barcelonès,08019,Barcelona,0,0,7,0,7,0,0,8,0,8,1611013,0
2020-02-28,13,Barcelonès,08019,Barcelona,0,0,9,0,9,0,0,17,0,17,1611013,0
2020-02-29,13,Barcelonès,08019,Barcelona,0,0,4,0,4,0,0,21,0,21,1611013,0
2020-03-01,13,Barcelonès,08019,Barcelona,0,0,2,0,2,0,0,23,0,23,1611013,0
2020-03-02,13,Barcelonès,08019,Barcelona,2,0,13,2,15,2,0,36,2,38,1611013,0.12414549106680083
2020-03-03,13,Barcelonès,08019,Barcelona,0,0,5,0,5,2,0,41,2,43,1611013,0
2020-03-04,13,Barcelonès,08019,Barcelona,1,0,5,1,6,3,0,46,3,49,1611013,0.06207274553340041
2020-03-05,13,Barcelonès,08019,Barcelona,2,0,5,2,7,5,0,51,5,56,1611013,0.12414549106680083
2020-03-06,13,Barcelonès,08019,Barcelona,0,0,13,0,13,5,0,64,5,69,1611013,0
2020-03-07,13,Barcelonès,08019,Barcelona,1,0,38,1,39,6,0,102,6,108,1611013,0.06207274553340041
2020-03-08,13,Barcelonès,08019,Barcelona,0,0,26,0,26,6,0,128,6,134,1611013,0
2020-03-09,13,Barcelonès,08019,Barcelona,5,0,28,5,33,11,0,156,11,167,1611013,0.3103637276670021
2020-03-10,13,Barcelonès,08019,Barcelona,14,0,71,14,85,25,0,227,25,252,1611013,0.8690184374676058
2020-03-11,13,Barcelonès,08019,Barcelona,27,0,63,27,90,52,0,290,52,342,1611013,1.6759641294018113
2020-03-12,13,Barcelonès,08019,Barcelona,64,0,97,64,161,116,0,387,116,503,1611013,3.9726557141376264
2020-03-13,13,Barcelonès,08019,Barcelona,90,0,181,90,271,206,0,568,206,774,1611013,5.586547098006037
2020-03-14,13,Barcelonès,08019,Barcelona,92,0,222,92,314,298,0,790,298,1088,1611013,5.7106925890728375
2020-03-15,13,Barcelonès,08019,Barcelona,108,0,306,108,414,406,0,1096,406,1502,1611013,6.703856517607245
2020-03-16,13,Barcelonès,08019,Barcelona,239,0,303,239,542,645,0,1399,645,2044,1611013,14.835386182482699
2020-03-17,13,Barcelonès,08019,Barcelona,260,0,294,260,554,905,0,1693,905,2598,1611013,16.138913838684108
2020-03-18,13,Barcelonès,08019,Barcelona,303,0,262,303,565,1208,0,1955,1208,3163,1611013,18.808041896620328
2020-03-19,13,Barcelonès,08019,Barcelona,390,0,315,390,705,1598,0,2270,1598,3868,1611013,24.208370758026163
2020-03-20,13,Barcelonès,08019,Barcelona,421,1,372,422,794,2019,1,2642,2020,4662,1611013,26.194698615094975
2020-03-21,13,Barcelonès,08019,Barcelona,412,1,268,413,681,2431,2,2910,2433,5343,1611013,25.636043905294372
2020-03-22,13,Barcelonès,08019,Barcelona,318,0,188,318,506,2749,2,3098,2751,5849,1611013,19.73913307962133
2020-03-23,13,Barcelonès,08019,Barcelona,445,0,227,445,672,3194,2,3325,3196,6521,1611013,27.622371762363183
2020-03-24,13,Barcelonès,08019,Barcelona,536,0,346,536,882,3730,2,3671,3732,7403,1611013,33.27099160590262
2020-03-25,13,Barcelonès,08019,Barcelona,556,0,545,556,1101,4286,2,4216,4288,8504,1611013,34.51244651657063
2020-03-26,13,Barcelonès,08019,Barcelona,623,0,330,623,953,4909,2,4546,4911,9457,1611013,38.67132046730846
2020-03-27,13,Barcelonès,08019,Barcelona,513,0,392,513,905,5422,2,4938,5424,10362,1611013,31.84331845863441
2020-03-28,13,Barcelonès,08019,Barcelona,367,0,302,367,669,5789,2,5240,5791,11031,1611013,22.78069761075795
2020-03-29,13,Barcelonès,08019,Barcelona,289,0,188,289,477,6078,2,5428,6080,11508,1611013,17.93902345915272
2020-03-30,13,Barcelonès,08019,Barcelona,394,0,346,394,740,6472,2,5774,6474,12248,1611013,24.45666174015976
2020-03-31,13,Barcelonès,08019,Barcelona,410,0,485,410,895,6882,2,6259,6884,13143,1611013,25.44982566869417
2020-04-01,13,Barcelonès,08019,Barcelona,344,0,856,344,1200,7226,2,7115,7228,14343,1611013,21.353024463489742
2020-04-02,13,Barcelonès,08019,Barcelona,280,0,438,280,718,7506,2,7553,7508,15061,1611013,17.380368749352115
2020-04-03,13,Barcelonès,08019,Barcelona,348,0,427,348,775,7854,2,7980,7856,15836,1611013,21.601315445623342
2020-04-04,13,Barcelonès,08019,Barcelona,180,2,353,182,535,8034,4,8333,8038,16371,1611013,11.297239687078875
2020-04-05,13,Barcelonès,08019,Barcelona,160,0,226,160,386,8194,4,8559,8198,16757,1611013,9.931639285344067
2020-04-06,13,Barcelonès,08019,Barcelona,271,2,374,273,647,8465,6,8933,8471,17404,1611013,16.945859530618314
2020-04-07,13,Barcelonès,08019,Barcelona,270,5,786,275,1061,8735,11,9719,8746,18465,1611013,17.070005021685112
2020-04-08,13,Barcelonès,08019,Barcelona,301,5,483,306,789,9036,16,10202,9052,19254,1611013,18.994260133220525
2020-04-09,13,Barcelonès,08019,Barcelona,296,12,587,308,895,9332,28,10789,9360,20149,1611013,19.118405624287327
2020-04-10,13,Barcelonès,08019,Barcelona,206,8,478,214,692,9538,36,11267,9574,20841,1611013,13.283567544147688
