CCAA,date,cases,ccaa
AN,2020-01-31,0,Andalucía
AR,2020-01-31,0,Aragón
AS,2020-01-31,0,Asturias
CB,2020-01-31,0,Cantabria
CE,2020-01-31,0,Ceuta
CL,2020-01-31,0,CyL
CM,2020-01-31,0,CLM
CN,2020-01-31,0,Canarias
CT,2020-01-31,0,Cataluña
EX,2020-01-31,0,Extremadura
GA,2020-01-31,0,Galicia
IB,2020-01-31,0,Baleares
MC,2020-01-31,0,Murcia
MD,2020-01-31,4,Madrid
ML,2020-01-31,0,Melilla
NC,2020-01-31,0,Navarra
PV,2020-01-31,0,País Vasco
RI,2020-01-31,0,La Rioja
VC,2020-01-31,4,C. Valenciana
AN,2020-02-01,2,Andalucía
AR,2020-02-01,0,Aragón
AS,2020-02-01,0,Asturias
CB,2020-02-01,0,Cantabria
CE,2020-02-01,0,Ceuta
CL,2020-02-01,0,CyL
CM,2020-02-01,0,CLM
CN,2020-02-01,0,Canarias
CT,2020-02-01,7,Cataluña
EX,2020-02-01,0,Extremadura
GA,2020-02-01,0,Galicia
IB,2020-02-01,0,Baleares
MC,2020-02-01,0,Murcia
MD,2020-02-01,9,Madrid
ML,2020-02-01,0,Melilla
NC,2020-02-01,0,Navarra
PV,2020-02-01,0,País Vasco
RI,2020-02-01,0,La Rioja
VC,2020-02-01,1,C. Valenciana
AN,2020-02-02,2,Andalucía
AR,2020-02-02,0,Aragón
AS,2020-02-02,0,Asturias
CB,2020-02-02,0,Cantabria
CE,2020-02-02,0,Ceuta
CL,2020-02-02,0,CyL
CM,2020-02-02,0,CLM
CN,2020-02-02,1,Canarias
CT,2020-02-02,2,Cataluña
EX,2020-02-02,2,Extremadura
GA,2020-02-02,1,Galicia
IB,2020-02-02,0,Baleares
MC,2020-02-02,0,Murcia
MD,2020-02-02,6,Madrid
ML,2020-02-02,0,Melilla
NC,2020-02-02,0,Navarra
PV,2020-02-02,0,País Vasco
RI,2020-02-02,0,La Rioja
VC,2020-02-02,0,C. Valenciana
AN,2020-02-03,1,Andalucía
AR,2020-02-03,0,Aragón
AS,2020-02-03,0,Asturias
CB,2020-02-03,0,Cantabria
CE,2020-02-03,0,Ceuta
CL,2020-02-03,1,CyL
CM,2020-02-03,0,CLM
CN,2020-02-03,0,Canarias
CT,2020-02-03,2,Cataluña
EX,2020-02-03,0,Extremadura
GA,2020-02-03,1,Galicia
IB,2020-02-03,0,Baleares
MC,2020-02-03,0,Murcia
MD,2020-02-03,7,Madrid
ML,2020-02-03,0,Melilla
NC,2020-02-03,0,Navarra
PV,2020-02-03,0,País Vasco
RI,2020-02-03,1,La Rioja
VC,2020-02-03,5,C. Valenciana
AN,2020-02-04,1,Andalucía
AR,2020-02-04,0,Aragón
AS,2020-02-04,0,Asturias
CB,2020-02-04,0,Cantabria
CE,2020-02-04,0,Ceuta
