date,country,cases,deaths,iso
2020-03-23,Afghanistan,40,1,AFG
2020-03-23,Albania,89,2,ALB
2020-03-23,Algeria,201,17,DZA
2020-03-23,Andorra,113,1,AND
2020-03-23,Angola,2,0,AGO
2020-03-23,Antigua and Barbuda,1,0,ATG
2020-03-23,Argentina,225,4,ARG
2020-03-23,Armenia,194,0,ARM
2020-03-23,Australia,1314,7,AUS
2020-03-23,Austria,3244,16,AUT
2020-03-23,Azerbaijan,65,1,AZE
2020-03-23,"Bahamas, The",4,0,BHS
2020-03-23,Bahrain,332,2,BHR
2020-03-23,Bangladesh,27,2,BGD
2020-03-23,Barbados,14,0,BRB
2020-03-23,Belarus,76,0,BLR
2020-03-23,Belgium,3401,75,BEL
2020-03-23,Benin,2,0,BEN
2020-03-23,Bhutan,2,0,BTN
2020-03-23,Bolivia,24,0,BOL
2020-03-23,Bosnia and Herzegovina,126,1,BIH
2020-03-23,Brazil,1593,25,BRA
2020-03-23,Brunei,88,0,BRN
2020-03-23,Bulgaria,187,3,BGR
2020-03-23,Burkina Faso,75,4,BFA
2020-03-23,Cabo Verde,3,0,CPV
2020-03-23,Cambodia,84,0,KHM
2020-03-23,Cameroon,40,0,CMR
2020-03-23,Canada,1470,21,CAN
2020-03-23,Cape Verde,0,0,CPV
2020-03-23,Central African Republic,3,0,CAF
2020-03-23,Chad,1,0,TCD
2020-03-23,Chile,632,1,CHL
2020-03-23,China,81439,3274,CHN
2020-03-23,Colombia,231,2,COL
2020-03-23,Congo (Brazzaville),3,0,COG
2020-03-23,Congo (Kinshasa),30,1,COD
2020-03-23,Costa Rica,134,2,CRI
2020-03-23,Cote d'Ivoire,14,0,CIV
2020-03-23,Croatia,254,1,HRV
2020-03-23,Cruise Ship,712,8,NA
2020-03-23,Cuba,35,1,CUB
2020-03-23,Cyprus,95,1,CYP
2020-03-23,Czechia,1120,1,CZE
2020-03-23,Denmark,1514,13,DNK
2020-03-23,Djibouti,1,0,DJI
2020-03-23,Dominica,1,0,DMA
2020-03-23,Dominican Republic,202,3,DOM
2020-03-23,East Timor,0,0,TLS
2020-03-23,Ecuador,789,14,ECU
2020-03-23,Egypt,327,14,EGY
2020-03-23,El Salvador,3,0,SLV
2020-03-23,Equatorial Guinea,6,0,GNQ
2020-03-23,Eritrea,1,0,ERI
2020-03-23,Estonia,326,0,EST
2020-03-23,Eswatini,4,0,NA
2020-03-23,Ethiopia,11,0,ETH
2020-03-23,Fiji,2,0,FJI
2020-03-23,Finland,626,1,FIN
2020-03-23,France,16044,674,FRA
2020-03-23,French Guiana,18,0,GUF
2020-03-23,Gabon,5,1,GAB
2020-03-23,"Gambia, The",1,0,GMB
2020-03-23,Georgia,54,0,GEO
2020-03-23,Germany,24873,94,DEU
2020-03-23,Ghana,24,1,GHA
2020-03-23,Greece,624,15,GRC
2020-03-23,Greenland,0,0,GRL
2020-03-23,Grenada,1,0,GRD
2020-03-23,Guadeloupe,56,0,GLP
2020-03-23,Guam,0,1,GUM
2020-03-23,Guatemala,19,1,GTM
2020-03-23,Guernsey,0,0,GGY
2020-03-23,Guinea,2,0,GIN
2020-03-23,Guyana,7,1,GUY
2020-03-23,Haiti,2,0,HTI
2020-03-23,Holy See,1,0,VAT
2020-03-23,Honduras,26,0,HND
2020-03-23,Hungary,131,6,HUN
2020-03-23,Iceland,568,1,ISL
2020-03-23,India,396,7,IND
2020-03-23,Indonesia,514,48,IDN
2020-03-23,Iran,21638,1685,IRN
2020-03-23,Iraq,233,20,IRQ
2020-03-23,Ireland,906,4,IRL
2020-03-23,Israel,1071,1,ISR
2020-03-23,Italy,63927,6077,ITA
2020-03-23,Jamaica,16,1,JAM
2020-03-23,Japan,1086,40,JPN
2020-03-23,Jersey,0,0,JEY
2020-03-23,Jordan,112,0,JOR
2020-03-23,Kazakhstan,60,0,KAZ
2020-03-23,Kenya,15,0,KEN
2020-03-23,"Korea, South",8897,104,KOR
2020-03-23,Kosovo,2,0,XKS
2020-03-23,Kuwait,188,0,KWT
2020-03-23,Kyrgyzstan,14,0,KGZ
2020-03-23,Latvia,139,0,LVA
2020-03-23,Lebanon,248,4,LBN
2020-03-23,Liberia,3,0,LBR
2020-03-23,Liechtenstein,37,0,LIE
2020-03-23,Lithuania,131,1,LTU
2020-03-23,Luxembourg,798,8,LUX
2020-03-23,Madagascar,3,0,MDG
2020-03-23,Malaysia,1306,10,MYS
2020-03-23,Maldives,13,0,MDV
2020-03-23,Malta,90,0,MLT
2020-03-23,Martinique,37,1,MTQ
2020-03-23,Mauritania,2,0,MRT
2020-03-23,Mauritius,18,1,MUS
2020-03-23,Mayotte,11,0,MYT
2020-03-23,Mexico,251,2,MEX
2020-03-23,Moldova,94,1,MDA
2020-03-23,Monaco,23,0,MCO
2020-03-23,Mongolia,10,0,MNG
2020-03-23,Montenegro,21,0,MNE
2020-03-23,Morocco,115,4,MAR
2020-03-23,Mozambique,1,0,MOZ
2020-03-23,Namibia,3,0,NAM
2020-03-23,Nepal,2,0,NPL
2020-03-23,Netherlands,4216,180,NLD
2020-03-23,New Zealand,66,0,NZL
2020-03-23,Nicaragua,2,0,NIC
2020-03-23,Niger,2,0,NER
2020-03-23,Nigeria,30,0,NGA
2020-03-23,North Macedonia,114,1,MKD
2020-03-23,Norway,2383,7,NOR
2020-03-23,Oman,55,0,OMN
2020-03-23,Pakistan,776,5,PAK
2020-03-23,Panama,245,3,PAN
2020-03-23,Papua New Guinea,1,0,PNG
2020-03-23,Paraguay,22,1,PRY
2020-03-23,Peru,363,5,PER
2020-03-23,Philippines,380,25,PHL
2020-03-23,Poland,634,7,POL
2020-03-23,Portugal,1600,14,PRT
2020-03-23,Puerto Rico,0,1,PRI
2020-03-23,Qatar,494,0,QAT
2020-03-23,Republic of the Congo,0,0,COG
2020-03-23,Reunion,47,0,REU
2020-03-23,Romania,433,3,ROU
2020-03-23,Russia,367,0,RUS
2020-03-23,Rwanda,19,0,RWA
2020-03-23,Saint Lucia,2,0,LCA
2020-03-23,Saint Vincent and the Grenadines,1,0,VCT
2020-03-23,San Marino,160,20,SMR
2020-03-23,Saudi Arabia,511,0,SAU
2020-03-23,Senegal,67,0,SEN
2020-03-23,Serbia,222,2,SRB
2020-03-23,Seychelles,7,0,SYC
2020-03-23,Singapore,455,2,SGP
2020-03-23,Slovakia,185,1,SVK
2020-03-23,Slovenia,414,2,SVN
2020-03-23,Somalia,1,0,SOM
2020-03-23,South Africa,274,0,ZAF
2020-03-23,Spain,28768,1772,ESP
2020-03-23,Sri Lanka,82,0,LKA
2020-03-23,Sudan,2,1,SDN
2020-03-23,Suriname,5,0,SUR
2020-03-23,Sweden,1934,21,SWE
2020-03-23,Switzerland,7245,98,CHE
2020-03-23,Syria,1,0,SYR
2020-03-23,Taiwan*,169,2,TWN
2020-03-23,Tanzania,12,0,TZA
2020-03-23,Thailand,599,1,THA
2020-03-23,The Bahamas,0,0,BHS
2020-03-23,The Gambia,0,0,GMB
2020-03-23,Timor-Leste,1,0,TLS
2020-03-23,Togo,16,0,TGO
2020-03-23,Trinidad and Tobago,50,0,TTO
2020-03-23,Tunisia,75,3,TUN
2020-03-23,Turkey,1236,30,TUR
2020-03-23,Uganda,1,0,UGA
2020-03-23,Ukraine,73,3,UKR
2020-03-23,United Arab Emirates,153,2,ARE
2020-03-23,United Kingdom,5741,282,GBR
2020-03-23,Uruguay,135,0,URY
2020-03-23,US,33276,417,USA
2020-03-23,Uzbekistan,43,0,UZB
2020-03-23,Venezuela,70,0,VEN
2020-03-23,Vietnam,113,0,VNM
2020-03-23,Zambia,3,0,ZMB
2020-03-23,Zimbabwe,3,0,ZWE
