country,date,cases,deaths,uci,hospitalizations,cases_non_cum,deaths_non_cum,uci_non_cum,iso
Afghanistan,2020-02-24,1,0,0,0,1,0,0,AFG
Afghanistan,2020-02-25,1,0,0,0,0,0,0,AFG
Afghanistan,2020-02-26,1,0,0,0,0,0,0,AFG
Afghanistan,2020-02-27,1,0,0,0,0,0,0,AFG
Afghanistan,2020-02-28,1,0,0,0,0,0,0,AFG
Afghanistan,2020-02-29,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-01,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-02,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-03,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-04,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-05,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-06,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-07,1,0,0,0,0,0,0,AFG
Afghanistan,2020-03-08,4,0,0,0,3,0,0,AFG
Afghanistan,2020-03-09,4,0,0,0,0,0,0,AFG
Afghanistan,2020-03-10,5,0,0,0,1,0,0,AFG
Afghanistan,2020-03-11,7,0,0,0,2,0,0,AFG
Afghanistan,2020-03-12,7,0,0,0,0,0,0,AFG
Afghanistan,2020-03-13,7,0,0,0,0,0,0,AFG
Afghanistan,2020-03-14,11,0,0,0,4,0,0,AFG
Afghanistan,2020-03-15,16,0,0,0,5,0,0,AFG
Afghanistan,2020-03-16,21,0,0,0,5,0,0,AFG
Afghanistan,2020-03-17,22,0,0,0,1,0,0,AFG
Afghanistan,2020-03-18,22,0,0,0,0,0,0,AFG
Afghanistan,2020-03-19,22,0,0,0,0,0,0,AFG
Afghanistan,2020-03-20,24,0,0,0,2,0,0,AFG
Afghanistan,2020-03-21,24,0,0,0,0,0,0,AFG
Afghanistan,2020-03-22,40,1,0,0,16,1,0,AFG
Afghanistan,2020-03-23,40,1,0,0,0,0,0,AFG
Afghanistan,2020-03-24,74,1,0,0,34,0,0,AFG
Afghanistan,2020-03-25,84,2,0,0,10,1,0,AFG
Afghanistan,2020-03-26,94,4,0,0,10,2,0,AFG
Afghanistan,2020-03-27,110,4,0,0,16,0,0,AFG
Afghanistan,2020-03-28,110,4,0,0,0,0,0,AFG
Afghanistan,2020-03-29,120,4,0,0,10,0,0,AFG
Afghanistan,2020-03-30,170,4,0,0,50,0,0,AFG
Albania,2020-03-09,2,0,0,0,2,0,0,ALB
Albania,2020-03-10,10,0,0,0,8,0,0,ALB
Albania,2020-03-11,12,1,0,0,2,1,0,ALB
Albania,2020-03-12,23,1,0,0,11,0,0,ALB
Albania,2020-03-13,33,1,0,0,10,0,0,ALB
Albania,2020-03-14,38,1,0,0,5,0,0,ALB
Albania,2020-03-15,42,1,0,0,4,0,0,ALB
Albania,2020-03-16,51,1,0,0,9,0,0,ALB
Albania,2020-03-17,55,1,0,0,4,0,0,ALB
Albania,2020-03-18,59,2,0,0,4,1,0,ALB
Albania,2020-03-19,64,2,0,0,5,0,0,ALB
Albania,2020-03-20,70,2,0,0,6,0,0,ALB
Albania,2020-03-21,76,2,0,0,6,0,0,ALB
Albania,2020-03-22,89,2,0,0,13,0,0,ALB
Albania,2020-03-23,104,4,0,0,15,2,0,ALB
Albania,2020-03-24,123,5,0,0,19,1,0,ALB
Albania,2020-03-25,146,5,0,0,23,0,0,ALB
Albania,2020-03-26,174,6,0,0,28,1,0,ALB
Albania,2020-03-27,186,8,0,0,12,2,0,ALB
Albania,2020-03-28,197,10,0,0,11,2,0,ALB
Albania,2020-03-29,212,10,0,0,15,0,0,ALB
Albania,2020-03-30,223,11,0,0,11,1,0,ALB
Algeria,2020-02-25,1,0,0,0,1,0,0,DZA
Algeria,2020-02-26,1,0,0,0,0,0,0,DZA
Algeria,2020-02-27,1,0,0,0,0,0,0,DZA
Algeria,2020-02-28,1,0,0,0,0,0,0,DZA
Algeria,2020-02-29,1,0,0,0,0,0,0,DZA
Algeria,2020-03-01,1,0,0,0,0,0,0,DZA
Algeria,2020-03-02,3,0,0,0,2,0,0,DZA
Algeria,2020-03-03,5,0,0,0,2,0,0,DZA
Algeria,2020-03-04,12,0,0,0,7,0,0,DZA
Algeria,2020-03-05,12,0,0,0,0,0,0,DZA
Algeria,2020-03-06,17,0,0,0,5,0,0,DZA
Algeria,2020-03-07,17,0,0,0,0,0,0,DZA
Algeria,2020-03-08,19,0,0,0,2,0,0,DZA
Algeria,2020-03-09,20,0,0,0,1,0,0,DZA
Algeria,2020-03-10,20,0,0,0,0,0,0,DZA
Algeria,2020-03-11,20,0,0,0,0,0,0,DZA
Algeria,2020-03-12,24,1,0,0,4,1,0,DZA
Algeria,2020-03-13,26,2,0,0,2,1,0,DZA
Algeria,2020-03-14,37,3,0,0,11,1,0,DZA
Algeria,2020-03-15,48,4,0,0,11,1,0,DZA
Algeria,2020-03-16,54,4,0,0,6,0,0,DZA
Algeria,2020-03-17,60,4,0,0,6,0,0,DZA
Algeria,2020-03-18,74,7,0,0,14,3,0,DZA
Algeria,2020-03-19,87,9,0,0,13,2,0,DZA
Algeria,2020-03-20,90,11,0,0,3,2,0,DZA
Algeria,2020-03-21,139,15,0,0,49,4,0,DZA
Algeria,2020-03-22,201,17,0,0,62,2,0,DZA
Algeria,2020-03-23,230,17,0,0,29,0,0,DZA
Algeria,2020-03-24,264,19,0,0,34,2,0,DZA
Algeria,2020-03-25,302,21,0,0,38,2,0,DZA
Algeria,2020-03-26,367,25,0,0,65,4,0,DZA
Algeria,2020-03-27,409,26,0,0,42,1,0,DZA
Algeria,2020-03-28,454,29,0,0,45,3,0,DZA
Algeria,2020-03-29,511,31,0,0,57,2,0,DZA
Algeria,2020-03-30,584,35,0,0,73,4,0,DZA
Andorra,2020-03-02,1,0,0,0,1,0,0,AND
Andorra,2020-03-03,1,0,0,0,0,0,0,AND
Andorra,2020-03-04,1,0,0,0,0,0,0,AND
Andorra,2020-03-05,1,0,0,0,0,0,0,AND
Andorra,2020-03-06,1,0,0,0,0,0,0,AND
Andorra,2020-03-07,1,0,0,0,0,0,0,AND
Andorra,2020-03-08,1,0,0,0,0,0,0,AND
Andorra,2020-03-09,1,0,0,0,0,0,0,AND
Andorra,2020-03-10,1,0,0,0,0,0,0,AND
Andorra,2020-03-11,1,0,0,0,0,0,0,AND
Andorra,2020-03-12,1,0,0,0,0,0,0,AND
Andorra,2020-03-13,1,0,0,0,0,0,0,AND
Andorra,2020-03-14,1,0,0,0,0,0,0,AND
Andorra,2020-03-15,1,0,0,0,0,0,0,AND
Andorra,2020-03-16,2,0,0,0,1,0,0,AND
Andorra,2020-03-17,39,0,0,0,37,0,0,AND
Andorra,2020-03-18,39,0,0,0,0,0,0,AND
Andorra,2020-03-19,53,0,0,0,14,0,0,AND
Andorra,2020-03-20,75,0,0,0,22,0,0,AND
Andorra,2020-03-21,88,0,0,0,13,0,0,AND
Andorra,2020-03-22,113,1,0,0,25,1,0,AND
Andorra,2020-03-23,133,1,0,0,20,0,0,AND
Andorra,2020-03-24,164,1,0,0,31,0,0,AND
Andorra,2020-03-25,188,1,0,0,24,0,0,AND
Andorra,2020-03-26,224,3,0,0,36,2,0,AND
Andorra,2020-03-27,267,3,0,0,43,0,0,AND
Andorra,2020-03-28,308,3,0,0,41,0,0,AND
Andorra,2020-03-29,334,6,0,0,26,3,0,AND
Andorra,2020-03-30,370,8,0,0,36,2,0,AND
Angola,2020-03-20,1,0,0,0,1,0,0,AGO
Angola,2020-03-21,2,0,0,0,1,0,0,AGO
Angola,2020-03-22,2,0,0,0,0,0,0,AGO
Angola,2020-03-23,3,0,0,0,1,0,0,AGO
Angola,2020-03-24,3,0,0,0,0,0,0,AGO
Angola,2020-03-25,3,0,0,0,0,0,0,AGO
Angola,2020-03-26,4,0,0,0,1,0,0,AGO
Angola,2020-03-27,4,0,0,0,0,0,0,AGO
Angola,2020-03-28,5,0,0,0,1,0,0,AGO
Angola,2020-03-29,7,2,0,0,2,2,0,AGO
Angola,2020-03-30,7,2,0,0,0,0,0,AGO
Antigua and Barbuda,2020-03-13,1,0,0,0,1,0,0,ATG
Antigua and Barbuda,2020-03-14,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-15,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-16,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-17,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-18,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-19,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-20,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-21,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-22,1,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-23,3,0,0,0,2,0,0,ATG
Antigua and Barbuda,2020-03-24,3,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-25,3,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-26,7,0,0,0,4,0,0,ATG
Antigua and Barbuda,2020-03-27,7,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-28,7,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-29,7,0,0,0,0,0,0,ATG
Antigua and Barbuda,2020-03-30,7,0,0,0,0,0,0,ATG
Argentina,2020-03-03,1,0,0,0,1,0,0,ARG
Argentina,2020-03-04,1,0,0,0,0,0,0,ARG
Argentina,2020-03-05,1,0,0,0,0,0,0,ARG
Argentina,2020-03-06,2,0,0,0,1,0,0,ARG
Argentina,2020-03-07,8,0,0,0,6,0,0,ARG
Argentina,2020-03-08,12,1,0,0,4,1,0,ARG
Argentina,2020-03-09,12,1,0,0,0,0,0,ARG
Argentina,2020-03-10,17,1,0,0,5,0,0,ARG
Argentina,2020-03-11,19,1,0,0,2,0,0,ARG
Argentina,2020-03-12,19,1,0,0,0,0,0,ARG
Argentina,2020-03-13,31,2,0,0,12,1,0,ARG
Argentina,2020-03-14,34,2,0,0,3,0,0,ARG
Argentina,2020-03-15,45,2,0,0,11,0,0,ARG
Argentina,2020-03-16,56,2,0,0,11,0,0,ARG
Argentina,2020-03-17,68,2,0,0,12,0,0,ARG
Argentina,2020-03-18,79,2,0,0,11,0,0,ARG
Argentina,2020-03-19,97,3,0,0,18,1,0,ARG
Argentina,2020-03-20,128,3,0,0,31,0,0,ARG
