country,iso,pop,region,sub_region
Aruba,ABW,105845,Americas,Latin America and the Caribbean
Afghanistan,AFG,37172386,Asia,Southern Asia
Angola,AGO,30809762,Africa,Sub-Saharan Africa
Albania,ALB,2866376,Europe,Southern Europe
Andorra,AND,77006,Europe,Southern Europe
Arab World,ARB,419790588,NA,NA
United Arab Emirates,ARE,9630959,Asia,Western Asia
Argentina,ARG,44494502,Americas,Latin America and the Caribbean
Armenia,ARM,2951776,Asia,Western Asia
American Samoa,ASM,55465,Oceania,Polynesia
Antigua and Barbuda,ATG,96286,Americas,Latin America and the Caribbean
Australia,AUS,24992369,Oceania,Australia and New Zealand
Austria,AUT,8847037,Europe,Western Europe
Azerbaijan,AZE,9942334,Asia,Western Asia
Burundi,BDI,11175378,Africa,Sub-Saharan Africa
Belgium,BEL,11422068,Europe,Western Europe
Benin,BEN,11485048,Africa,Sub-Saharan Africa
Burkina Faso,BFA,19751535,Africa,Sub-Saharan Africa
Bangladesh,BGD,161356039,Asia,Southern Asia
Bulgaria,BGR,7024216,Europe,Eastern Europe
Bahrain,BHR,1569439,Asia,Western Asia
"Bahamas, The",BHS,385640,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,3323929,Europe,Southern Europe
Belarus,BLR,9485386,Europe,Eastern Europe
Belize,BLZ,383071,Americas,Latin America and the Caribbean
Bermuda,BMU,63968,Americas,Northern America
Bolivia,BOL,11353142,Americas,Latin America and the Caribbean
Brazil,BRA,209469333,Americas,Latin America and the Caribbean
Barbados,BRB,286641,Americas,Latin America and the Caribbean
Brunei Darussalam,BRN,428962,Asia,South-eastern Asia
Bhutan,BTN,754394,Asia,Southern Asia
Botswana,BWA,2254126,Africa,Sub-Saharan Africa
Central African Republic,CAF,4666377,Africa,Sub-Saharan Africa
Canada,CAN,37058856,Americas,Northern America
Central Europe and the Baltics,CEB,102511922,NA,NA
Switzerland,CHE,8516543,Europe,Western Europe
Channel Islands,CHI,170499,NA,NA
Chile,CHL,18729160,Americas,Latin America and the Caribbean
China,CHN,1392730000,Asia,Eastern Asia
Cote d'Ivoire,CIV,25069229,Africa,Sub-Saharan Africa
Cameroon,CMR,25216237,Africa,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,84068091,Africa,Sub-Saharan Africa
"Congo, Rep.",COG,5244363,Africa,Sub-Saharan Africa
Colombia,COL,49648685,Americas,Latin America and the Caribbean
Comoros,COM,832322,Africa,Sub-Saharan Africa
Cabo Verde,CPV,543767,Africa,Sub-Saharan Africa
Costa Rica,CRI,4999441,Americas,Latin America and the Caribbean
Caribbean small states,CSS,7358965,NA,NA
Cuba,CUB,11338138,Americas,Latin America and the Caribbean
Curacao,CUW,159849,Americas,Latin America and the Caribbean
Cayman Islands,CYM,64174,Americas,Latin America and the Caribbean
Cyprus,CYP,1189265,Asia,Western Asia
Czech Republic,CZE,10625695,Europe,Eastern Europe
Germany,DEU,82927922,Europe,Western Europe
Djibouti,DJI,958920,Africa,Sub-Saharan Africa
Dominica,DMA,71625,Americas,Latin America and the Caribbean
Denmark,DNK,5797446,Europe,Northern Europe
Dominican Republic,DOM,10627165,Americas,Latin America and the Caribbean
Algeria,DZA,42228429,Africa,Northern Africa
East Asia & Pacific (excluding high income),EAP,2081651801,NA,NA
Early-demographic dividend,EAR,3249140605,NA,NA
East Asia & Pacific,EAS,2328220870,NA,NA
Europe & Central Asia (excluding high income),ECA,417797257,NA,NA
Europe & Central Asia,ECS,918793590,NA,NA
Ecuador,ECU,17084357,Americas,Latin America and the Caribbean
"Egypt, Arab Rep.",EGY,98423595,Africa,Northern Africa
Euro area,EMU,341783171,NA,NA
Eritrea,ERI,NA,Africa,Sub-Saharan Africa
Spain,ESP,46723749,Europe,Southern Europe
Estonia,EST,1320884,Europe,Northern Europe
Ethiopia,ETH,109224559,Africa,Sub-Saharan Africa
European Union,EUU,513213363,NA,NA
Fragile and conflict affected situations,FCS,515215936,NA,NA
Finland,FIN,5518050,Europe,Northern Europe
Fiji,FJI,883483,Oceania,Melanesia
France,FRA,66987244,Europe,Western Europe
Faroe Islands,FRO,48497,Europe,Northern Europe
"Micronesia, Fed. Sts.",FSM,112640,Oceania,Micronesia
Gabon,GAB,2119275,Africa,Sub-Saharan Africa
United Kingdom,GBR,66488991,Europe,Northern Europe
Georgia,GEO,3731000,Asia,Western Asia
Ghana,GHA,29767108,Africa,Sub-Saharan Africa
Gibraltar,GIB,33718,Europe,Southern Europe
Guinea,GIN,12414318,Africa,Sub-Saharan Africa
"Gambia, The",GMB,2280102,Africa,Sub-Saharan Africa
Guinea-Bissau,GNB,1874309,Africa,Sub-Saharan Africa
Equatorial Guinea,GNQ,1308974,Africa,Sub-Saharan Africa
Greece,GRC,10727668,Europe,Southern Europe
