region,total_deaths,expected_deaths,percent_excess
Madrid,27997,13815.5,202.6491983641562
Castile-La Mancha,11552,6246.75,184.9281626445752
Ceuta,203,126.5,160.47430830039525
Catalonia,33599,22006.25,152.67935245668843
Castile & León,11348,7744,146.53925619834712
La Rioja,1109,768.5,144.30709173715027
Navarre,2554,1865.5,136.9069954435808
Spain,178214,134752.75,132.25258853715417
Melilla,164,126.5,129.64426877470356
Aragón,4592,3686.25,124.57104103085793
Cantabria,1773,1482,119.63562753036436
Extremadura,4281,3584.5,119.43088296833588
Basque Country,8728,7323.5,119.17798866662115
Valencia,16667,15118.5,110.24241822932169
Asturias,4861,4527,107.37795449525072
Andalusia,25461,24029.5,105.95726086685116
Balearics,2867,2714,105.63743551952838
Galicia,10956,10587.5,103.48051948051949
Murcia,3936,3808.5,103.34777471445452
Canary Islands,5514,5473,100.74913210305134
