Age,M,F
0-4,100186299,97131069
5-9,90181609,87660714
10-14,78626628,76708377
15-19,68008601,66656954
20-24,58975056,58177934
25-29,51298741,51077443
30-34,44543495,44845572
35-39,37687909,38306223
40-44,30734510,31405916
45-49,24765539,25653493
50-54,19877741,21000285
55-59,16007797,17158622
60-64,12266805,13594630
65-69,8861937,10152905
70-74,5784435,7059557
75-79,3339014,4410305
80-84,1623454,2345539
85-89,586527,926847
90-94,135184,234608
95-99,21172,40942
100+,1227,2561
