Age,M,F
0-4,20227850,19164814
5-9,20958780,19841541
10-14,20412827,19329581
15-19,19321408,18315097
20-24,20350895,19359797
25-29,23724755,22746995
30-34,26793996,26125595
35-39,26479209,26295923
40-44,25973623,26242249
45-49,25735146,26259172
50-54,25395668,26569263
55-59,25252855,27511658
60-64,22440135,25944388
65-69,18940537,23342249
70-74,14826748,19005377
75-79,10248402,14728740
80-84,7845117,13169734
85-89,3922798,7572206
90-94,1516500,3787195
95-99,323303,1062902
100+,21036,96751
