Age,M,F
0-4,26562249,25408580
5-9,26676529,25589961
10-14,26833330,25832247
15-19,27374541,26544908
20-24,27338770,26881723
25-29,26648543,26469339
30-34,25127335,25487453
35-39,23552646,24314551
40-44,21159931,22307288
45-49,18927772,20298353
50-54,17063942,18599744
55-59,14882777,16433843
60-64,11900555,13492874
65-69,9268097,10813317
70-74,6478255,7883763
75-79,4333175,5633530
80-84,2668688,3818761
85-89,1325064,2173815
90-94,522465,989665
95-99,139936,298651
100+,18528,45462
