date_time,ccaa,value,confirmed_cases
2020-03-14T16:30:00Z,Andalucía,304,304
2020-03-14T16:30:00Z,Aragón,121,121
2020-03-14T16:30:00Z,Asturias,101,101
2020-03-14T16:30:00Z,Baleares,44,44
2020-03-14T16:30:00Z,Canarias,90,90
2020-03-14T16:30:00Z,Cantabria,31,31
2020-03-14T16:30:00Z,CLM,289,289
2020-03-14T16:30:00Z,CyL,223,223
2020-03-14T16:30:00Z,Cataluña,715,715
2020-03-14T16:30:00Z,C. Valenciana,192,192
2020-03-14T16:30:00Z,Extremadura,66,66
2020-03-14T16:30:00Z,Galicia,136,136
2020-03-14T16:30:00Z,Madrid,2940,2940
2020-03-14T16:30:00Z,Melilla,3,3
2020-03-14T16:30:00Z,Murcia,51,51
2020-03-14T16:30:00Z,Navarra,146,146
2020-03-14T16:30:00Z,País Vasco,521,521
2020-03-14T16:30:00Z,La Rioja,278,278
2020-03-14T11:00:00Z,Andalucía,269,269
2020-03-14T11:00:00Z,Aragón,80,80
2020-03-14T11:00:00Z,Asturias,92,92
2020-03-14T11:00:00Z,Baleares,28,28
2020-03-14T11:00:00Z,Canarias,90,90
2020-03-14T11:00:00Z,Cantabria,31,31
2020-03-14T11:00:00Z,CLM,289,289
2020-03-14T11:00:00Z,CyL,223,223
2020-03-14T11:00:00Z,Cataluña,509,509
2020-03-14T11:00:00Z,C. Valenciana,130,130
2020-03-14T11:00:00Z,Extremadura,66,66
2020-03-14T11:00:00Z,Galicia,115,115
2020-03-14T11:00:00Z,Madrid,2940,2940
2020-03-14T11:00:00Z,Melilla,3,3
2020-03-14T11:00:00Z,Murcia,47,47
2020-03-14T11:00:00Z,Navarra,146,146
2020-03-14T11:00:00Z,País Vasco,417,417
2020-03-14T11:00:00Z,La Rioja,278,278
2020-03-13T17:00:00Z,Andalucía,219,219
2020-03-13T17:00:00Z,Aragón,80,80
2020-03-13T17:00:00Z,Asturias,73,73
2020-03-13T17:00:00Z,Baleares,30,30
2020-03-13T17:00:00Z,Canarias,70,70
2020-03-13T17:00:00Z,Cantabria,29,29
2020-03-13T17:00:00Z,CLM,194,194
2020-03-13T17:00:00Z,CyL,169,169
2020-03-13T17:00:00Z,Cataluña,316,316
2020-03-13T17:00:00Z,C. Valenciana,94,94
2020-03-13T17:00:00Z,Extremadura,39,39
2020-03-13T17:00:00Z,Galicia,85,85
2020-03-13T17:00:00Z,Madrid,1990,1990
2020-03-13T17:00:00Z,Melilla,2,2
2020-03-13T17:00:00Z,Murcia,35,35
2020-03-13T17:00:00Z,Navarra,130,130
2020-03-13T17:00:00Z,País Vasco,417,417
2020-03-13T17:00:00Z,La Rioja,259,259
2020-03-13T11:00:00Z,Andalucía,219,219
2020-03-13T11:00:00Z,Aragón,80,80
2020-03-13T11:00:00Z,Asturias,67,67
2020-03-13T11:00:00Z,Baleares,30,30
2020-03-13T11:00:00Z,Canarias,70,70
2020-03-13T11:00:00Z,Cantabria,29,29
2020-03-13T11:00:00Z,CLM,194,194
2020-03-13T11:00:00Z,CyL,169,169
2020-03-13T11:00:00Z,Cataluña,316,316
2020-03-13T11:00:00Z,C. Valenciana,94,94
2020-03-13T11:00:00Z,Extremadura,39,39
2020-03-13T11:00:00Z,Galicia,85,85
2020-03-13T11:00:00Z,Madrid,1990,1990
2020-03-13T11:00:00Z,Murcia,35,35
2020-03-13T11:00:00Z,Navarra,130,130
2020-03-13T11:00:00Z,País Vasco,417,417
2020-03-13T11:00:00Z,La Rioja,243,243
2020-03-12T17:00:00Z,Andalucía,115,115
2020-03-12T17:00:00Z,Aragón,64,64
2020-03-12T17:00:00Z,Asturias,49,49
2020-03-12T17:00:00Z,Baleares,22,22
2020-03-12T17:00:00Z,Canarias,51,51
2020-03-12T17:00:00Z,Cantabria,16,16
2020-03-12T17:00:00Z,CLM,115,115
2020-03-12T17:00:00Z,CyL,92,92
2020-03-12T17:00:00Z,Cataluña,260,260
2020-03-12T17:00:00Z,C. Valenciana,94,94
2020-03-12T17:00:00Z,Extremadura,19,19
2020-03-12T17:00:00Z,Galicia,35,35
2020-03-12T17:00:00Z,Madrid,1388,1388
2020-03-12T17:00:00Z,Murcia,26,26
2020-03-12T17:00:00Z,Navarra,92,92
2020-03-12T17:00:00Z,País Vasco,346,346
2020-03-12T17:00:00Z,La Rioja,220,220
2020-03-12T12:00:00Z,Andalucía,115,115
2020-03-12T12:00:00Z,Aragón,64,64
2020-03-12T12:00:00Z,Asturias,47,47
2020-03-12T12:00:00Z,Baleares,22,22
2020-03-12T12:00:00Z,Canarias,51,51
2020-03-12T12:00:00Z,Cantabria,16,16
2020-03-12T12:00:00Z,CLM,115,115
2020-03-12T12:00:00Z,CyL,92,92
2020-03-12T12:00:00Z,Cataluña,260,260
2020-03-12T12:00:00Z,C. Valenciana,94,94
2020-03-12T12:00:00Z,Extremadura,19,19
2020-03-12T12:00:00Z,Galicia,35,35
2020-03-12T12:00:00Z,Madrid,1388,1388
2020-03-12T12:00:00Z,Murcia,26,26
2020-03-12T12:00:00Z,Navarra,73,73
2020-03-12T12:00:00Z,País Vasco,346,346
2020-03-12T12:00:00Z,La Rioja,205,205
2020-03-10T17:00:00Z,Andalucía,71,71
2020-03-10T17:00:00Z,Aragón,38,38
2020-03-10T17:00:00Z,Asturias,28,28
2020-03-10T17:00:00Z,Baleares,13,13
2020-03-10T17:00:00Z,Canarias,25,25
