TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
25/02/2020,64,Girona,10-19,0,Home,Sospitós,2
25/02/2020,64,Girona,30-39,1,Dona,Sospitós,1
26/02/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
26/02/2020,78,Barcelona,30-39,0,Home,Sospitós,1
26/02/2020,64,Girona,10-19,1,Dona,Sospitós,1
26/02/2020,64,Girona,30-39,0,Home,Sospitós,1
26/02/2020,64,Girona,50-59,0,Home,Sospitós,1
26/02/2020,64,Girona,20-29,1,Dona,Sospitós,1
26/02/2020,64,Girona,30-39,1,Dona,Sospitós,1
26/02/2020,78,Barcelona,30-39,1,Dona,Sospitós,1
26/02/2020,00,No classificat,30-39,0,Home,Sospitós,1
26/02/2020,00,No classificat,50-59,1,Dona,Sospitós,1
27/02/2020,78,Barcelona,30-39,1,Dona,Sospitós,3
27/02/2020,78,Barcelona,20-29,0,Home,Sospitós,2
27/02/2020,64,Girona,50-59,1,Dona,Sospitós,1
27/02/2020,64,Girona,30-39,1,Dona,Sospitós,2
27/02/2020,78,Barcelona,40-49,0,Home,Sospitós,1
27/02/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
27/02/2020,78,Barcelona,40-49,1,Dona,Sospitós,1
27/02/2020,64,Girona,40-49,0,Home,Sospitós,1
27/02/2020,78,Barcelona,50-59,1,Dona,Sospitós,1
27/02/2020,64,Girona,70-79,1,Dona,Sospitós,1
27/02/2020,78,Barcelona,60-69,0,Home,Sospitós,1
27/02/2020,67,Catalunya Central,10-19,1,Dona,Sospitós,1
27/02/2020,78,Barcelona,30-39,0,Home,Positiu,1
27/02/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,1
27/02/2020,78,Barcelona,10-19,1,Dona,Positiu,1
27/02/2020,78,Barcelona,70-79,0,Home,Sospitós,1
27/02/2020,64,Girona,0-9,0,Home,Sospitós,1
27/02/2020,78,Barcelona,10-19,0,Home,Positiu,1
28/02/2020,78,Barcelona,10-19,0,Home,Sospitós,1
28/02/2020,78,Barcelona,50-59,0,Home,Sospitós,1
28/02/2020,78,Barcelona,20-29,0,Home,Sospitós,2
28/02/2020,63,Terres de l'Ebre,30-39,0,Home,Sospitós,1
28/02/2020,67,Catalunya Central,20-29,0,Home,Sospitós,2
28/02/2020,78,Barcelona,10-19,0,Home,Positiu,1
28/02/2020,67,Catalunya Central,10-19,1,Dona,Sospitós,1
28/02/2020,78,Barcelona,30-39,1,Dona,Sospitós,3
28/02/2020,64,Girona,30-39,0,Home,Sospitós,1
28/02/2020,78,Barcelona,40-49,1,Dona,Sospitós,2
28/02/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
28/02/2020,78,Barcelona,30-39,0,Home,Positiu,1
28/02/2020,78,Barcelona,60-69,1,Dona,Sospitós,1
28/02/2020,64,Girona,60-69,0,Home,Sospitós,1
28/02/2020,64,Girona,50-59,1,Dona,Positiu,1
28/02/2020,64,Girona,60-69,1,Dona,Sospitós,1
28/02/2020,78,Barcelona,30-39,0,Home,Sospitós,2
28/02/2020,78,Barcelona,40-49,0,Home,Sospitós,4
28/02/2020,78,Barcelona,80-89,0,Home,Sospitós,1
28/02/2020,64,Girona,40-49,1,Dona,Sospitós,2
29/02/2020,78,Barcelona,20-29,0,Home,Sospitós,1
29/02/2020,78,Barcelona,60-69,1,Dona,Sospitós,1
29/02/2020,78,Barcelona,30-39,1,Dona,Sospitós,2
29/02/2020,78,Barcelona,40-49,1,Dona,Sospitós,1
29/02/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
29/02/2020,00,No classificat,0-9,0,Home,Sospitós,8
29/02/2020,00,No classificat,0-9,1,Dona,Sospitós,6
29/02/2020,00,No classificat,10-19,0,Home,Sospitós,3
29/02/2020,00,No classificat,10-19,1,Dona,Sospitós,5
29/02/2020,00,No classificat,20-29,0,Home,Sospitós,5
29/02/2020,00,No classificat,20-29,1,Dona,Sospitós,8
29/02/2020,00,No classificat,30-39,0,Home,Sospitós,3
29/02/2020,00,No classificat,30-39,1,Dona,Positiu,1
29/02/2020,00,No classificat,30-39,1,Dona,Sospitós,6
29/02/2020,00,No classificat,40-49,0,Home,Sospitós,4
29/02/2020,00,No classificat,40-49,1,Dona,Sospitós,4
29/02/2020,00,No classificat,50-59,0,Home,Sospitós,2
29/02/2020,00,No classificat,50-59,1,Dona,Sospitós,3
29/02/2020,00,No classificat,60-69,0,Home,Sospitós,1
29/02/2020,00,No classificat,60-69,1,Dona,Sospitós,1
29/02/2020,00,No classificat,70-79,1,Dona,Sospitós,1
01/03/2020,78,Barcelona,30-39,0,Home,Sospitós,1
01/03/2020,78,Barcelona,60-69,0,Home,Sospitós,1
01/03/2020,78,Barcelona,20-29,1,Dona,Positiu,1
01/03/2020,78,Barcelona,80-89,0,Home,Sospitós,1
01/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
01/03/2020,64,Girona,50-59,1,Dona,Sospitós,1
01/03/2020,78,Barcelona,70-79,0,Home,Sospitós,1
01/03/2020,64,Girona,40-49,0,Home,Sospitós,1
01/03/2020,00,No classificat,50-59,0,Home,Sospitós,1
01/03/2020,00,No classificat,30-39,1,Dona,Sospitós,1
02/03/2020,78,Barcelona,60-69,0,Home,Sospitós,1
02/03/2020,78,Barcelona,10-19,0,Home,Sospitós,1
02/03/2020,64,Girona,10-19,1,Dona,Sospitós,1
02/03/2020,78,Barcelona,40-49,1,Dona,Positiu,3
02/03/2020,67,Catalunya Central,30-39,1,Dona,Sospitós,1
02/03/2020,78,Barcelona,60-69,0,Home,Positiu,1
02/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,3
02/03/2020,67,Catalunya Central,40-49,1,Dona,Sospitós,1
02/03/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,1
02/03/2020,78,Barcelona,30-39,0,Home,Positiu,1
02/03/2020,64,Girona,50-59,0,Home,Sospitós,1
02/03/2020,78,Barcelona,30-39,0,Home,Sospitós,1
02/03/2020,78,Barcelona,30-39,1,Dona,Positiu,1
02/03/2020,78,Barcelona,80-89,0,Home,Sospitós,1
02/03/2020,78,Barcelona,70-79,0,Home,Sospitós,1
02/03/2020,78,Barcelona,60-69,1,Dona,Positiu,2
02/03/2020,78,Barcelona,10-19,1,Dona,Sospitós,2
02/03/2020,78,Barcelona,20-29,0,Home,Sospitós,2
02/03/2020,78,Barcelona,40-49,1,Dona,Sospitós,1
02/03/2020,62,Camp de Tarragona,20-29,0,Home,Sospitós,1
02/03/2020,78,Barcelona,20-29,1,Dona,Positiu,3
02/03/2020,00,No classificat,10-19,1,Dona,Sospitós,1
02/03/2020,00,No classificat,20-29,1,Dona,Sospitós,1
02/03/2020,00,No classificat,40-49,0,Home,Sospitós,1
03/03/2020,78,Barcelona,30-39,0,Home,Sospitós,2
03/03/2020,78,Barcelona,50-59,0,Home,Sospitós,1
03/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,1
03/03/2020,67,Catalunya Central,40-49,0,Home,Sospitós,1
03/03/2020,78,Barcelona,20-29,0,Home,Sospitós,1
03/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
03/03/2020,78,Barcelona,60-69,0,Home,Sospitós,1
03/03/2020,78,Barcelona,30-39,1,Dona,Sospitós,2
03/03/2020,67,Catalunya Central,20-29,0,Home,Sospitós,2
03/03/2020,64,Girona,10-19,1,Dona,Sospitós,1
03/03/2020,67,Catalunya Central,40-49,1,Dona,Sospitós,1
03/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,1
03/03/2020,67,Catalunya Central,10-19,1,Dona,Sospitós,1
03/03/2020,78,Barcelona,70-79,0,Home,Sospitós,3
03/03/2020,78,Barcelona,80-89,0,Home,Sospitós,1
03/03/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,2
03/03/2020,00,No classificat,40-49,0,Home,Sospitós,1
03/03/2020,00,No classificat,30-39,0,Home,Sospitós,1
04/03/2020,64,Girona,40-49,0,Home,Sospitós,1
04/03/2020,78,Barcelona,50-59,0,Home,Sospitós,1
04/03/2020,64,Girona,30-39,0,Home,Sospitós,1
04/03/2020,78,Barcelona,90+,1,Dona,Sospitós,1
04/03/2020,64,Girona,0-9,0,Home,Sospitós,1
04/03/2020,78,Barcelona,60-69,0,Home,Sospitós,1
04/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,1
04/03/2020,78,Barcelona,40-49,1,Dona,Sospitós,1
04/03/2020,78,Barcelona,0-9,0,Home,Sospitós,1
04/03/2020,78,Barcelona,80-89,0,Home,Sospitós,2
04/03/2020,78,Barcelona,20-29,0,Home,Positiu,2
04/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,1
04/03/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,1
04/03/2020,64,Girona,10-19,0,Home,Sospitós,1
04/03/2020,78,Barcelona,90+,0,Home,Sospitós,1
04/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
04/03/2020,67,Catalunya Central,60-69,1,Dona,Sospitós,1
04/03/2020,67,Catalunya Central,20-29,0,Home,Sospitós,1
04/03/2020,64,Girona,10-19,1,Dona,Sospitós,2
04/03/2020,00,No classificat,0-9,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,80-89,0,Home,Sospitós,1
05/03/2020,78,Barcelona,60-69,0,Home,Sospitós,1
05/03/2020,78,Barcelona,50-59,1,Dona,Positiu,2
05/03/2020,78,Barcelona,60-69,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,60-69,0,Home,Positiu,1
05/03/2020,64,Girona,30-39,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,80-89,1,Dona,Positiu,1
05/03/2020,78,Barcelona,70-79,0,Home,Sospitós,2
05/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,1
05/03/2020,64,Girona,20-29,0,Home,Sospitós,1
05/03/2020,78,Barcelona,70-79,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,2
05/03/2020,78,Barcelona,0-9,1,Dona,Sospitós,2
05/03/2020,64,Girona,60-69,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,10-19,0,Home,Sospitós,1
05/03/2020,78,Barcelona,70-79,1,Dona,Positiu,1
05/03/2020,78,Barcelona,50-59,0,Home,Sospitós,5
05/03/2020,64,Girona,10-19,1,Dona,Sospitós,1
05/03/2020,78,Barcelona,20-29,1,Dona,Positiu,1
05/03/2020,00,No classificat,20-29,1,Dona,Sospitós,1
05/03/2020,00,No classificat,30-39,0,Home,Sospitós,1
06/03/2020,78,Barcelona,20-29,1,Dona,Sospitós,1
06/03/2020,78,Barcelona,70-79,1,Dona,Sospitós,2
06/03/2020,78,Barcelona,40-49,0,Home,Sospitós,1
06/03/2020,63,Terres de l'Ebre,60-69,0,Home,Sospitós,1
06/03/2020,64,Girona,10-19,1,Dona,Sospitós,1
06/03/2020,67,Catalunya Central,20-29,0,Home,Sospitós,1
06/03/2020,67,Catalunya Central,10-19,1,Dona,Sospitós,1
06/03/2020,78,Barcelona,90+,1,Dona,Sospitós,1
06/03/2020,78,Barcelona,10-19,0,Home,Sospitós,1
06/03/2020,78,Barcelona,50-59,0,Home,Sospitós,2
06/03/2020,78,Barcelona,60-69,1,Dona,Sospitós,1
06/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,2
06/03/2020,78,Barcelona,20-29,0,Home,Sospitós,3
06/03/2020,00,No classificat,80-89,0,Home,Sospitós,1
06/03/2020,78,Barcelona,70-79,0,Home,Sospitós,3
06/03/2020,78,Barcelona,60-69,0,Home,Sospitós,2
06/03/2020,78,Barcelona,90+,0,Home,Sospitós,1
06/03/2020,61,Lleida,40-49,0,Home,Sospitós,1
06/03/2020,64,Girona,80-89,0,Home,Sospitós,1
06/03/2020,64,Girona,60-69,0,Home,Positiu,1
06/03/2020,71,Alt Pirineu i Aran,0-9,0,Home,Sospitós,1
