TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos,date
16/05/2020,6700,Catalunya Central,70-79,1,Dona,Sospitós,7,2020-05-16
16/05/2020,7801,Metropolità Sud,40-49,1,Dona,Sospitós,7,2020-05-16
16/05/2020,6700,Catalunya Central,80-89,0,Home,Sospitós,3,2020-05-16
16/05/2020,7801,Metropolità Sud,80-89,1,Dona,Sospitós,4,2020-05-16
16/05/2020,7802,Metropolità Nord,0-9,1,Dona,Sospitós,4,2020-05-16
16/05/2020,6700,Catalunya Central,80-89,1,Dona,Sospitós,2,2020-05-16
16/05/2020,7802,Metropolità Nord,60-69,1,Dona,Sospitós,14,2020-05-16
16/05/2020,6700,Catalunya Central,30-39,0,Home,Sospitós,5,2020-05-16
16/05/2020,7803,Barcelona Ciutat,60-69,0,Home,Sospitós,16,2020-05-16
16/05/2020,6400,Girona,50-59,1,Dona,Sospitós,25,2020-05-16
16/05/2020,7803,Barcelona Ciutat,60-69,1,Dona,Sospitós,22,2020-05-16
16/05/2020,7801,Metropolità Sud,20-29,1,Dona,Sospitós,7,2020-05-16
16/05/2020,7803,Barcelona Ciutat,80-89,0,Home,Sospitós,15,2020-05-16
16/05/2020,6400,Girona,10-19,1,Dona,Sospitós,3,2020-05-16
16/05/2020,6400,Girona,0-9,0,Home,Sospitós,1,2020-05-16
16/05/2020,6200,Camp de Tarragona,10-19,0,Home,Sospitós,1,2020-05-16
16/05/2020,7802,Metropolità Nord,60-69,0,Home,Sospitós,9,2020-05-16
16/05/2020,6100,Lleida,0-9,1,Dona,Sospitós,2,2020-05-16
16/05/2020,6400,Girona,30-39,0,Home,Positiu,1,2020-05-16
16/05/2020,6700,Catalunya Central,90+,1,Dona,Sospitós,1,2020-05-16
16/05/2020,6400,Girona,70-79,1,Dona,Sospitós,7,2020-05-16
16/05/2020,6400,Girona,60-69,0,Home,Sospitós,6,2020-05-16
16/05/2020,6100,Lleida,40-49,0,Home,Sospitós,1,2020-05-16
16/05/2020,7803,Barcelona Ciutat,80-89,1,Dona,Sospitós,19,2020-05-16
16/05/2020,7100,Alt Pirineu i Aran,70-79,0,Home,Sospitós,1,2020-05-16
16/05/2020,6700,Catalunya Central,50-59,1,Dona,Sospitós,7,2020-05-16
16/05/2020,6400,Girona,30-39,1,Dona,Sospitós,13,2020-05-16
16/05/2020,7802,Metropolità Nord,20-29,1,Dona,Sospitós,11,2020-05-16
16/05/2020,7801,Metropolità Sud,50-59,1,Dona,Sospitós,9,2020-05-16
16/05/2020,7802,Metropolità Nord,10-19,0,Home,Sospitós,1,2020-05-16
16/05/2020,6700,Catalunya Central,20-29,1,Dona,Sospitós,7,2020-05-16
16/05/2020,7803,Barcelona Ciutat,10-19,0,Home,Sospitós,1,2020-05-16
16/05/2020,6700,Catalunya Central,0-9,1,Dona,Sospitós,3,2020-05-16
16/05/2020,6400,Girona,70-79,0,Home,Sospitós,9,2020-05-16
16/05/2020,7803,Barcelona Ciutat,30-39,1,Dona,Positiu,1,2020-05-16
16/05/2020,7802,Metropolità Nord,30-39,0,Home,Sospitós,8,2020-05-16
16/05/2020,6700,Catalunya Central,40-49,1,Dona,Sospitós,10,2020-05-16
16/05/2020,6400,Girona,90+,0,Home,Sospitós,5,2020-05-16
16/05/2020,7801,Metropolità Sud,60-69,0,Home,Sospitós,4,2020-05-16
16/05/2020,6100,Lleida,30-39,0,Home,Sospitós,2,2020-05-16
16/05/2020,7801,Metropolità Sud,70-79,0,Home,Sospitós,3,2020-05-16
16/05/2020,6400,Girona,20-29,0,Home,Sospitós,4,2020-05-16
16/05/2020,7803,Barcelona Ciutat,90+,0,Home,Positiu,1,2020-05-16
16/05/2020,6400,Girona,60-69,1,Dona,Sospitós,13,2020-05-16
16/05/2020,7801,Metropolità Sud,10-19,0,Home,Sospitós,1,2020-05-16
16/05/2020,6700,Catalunya Central,10-19,0,Home,Sospitós,1,2020-05-16
16/05/2020,7803,Barcelona Ciutat,50-59,1,Dona,Sospitós,26,2020-05-16
16/05/2020,7802,Metropolità Nord,70-79,1,Dona,Sospitós,7,2020-05-16
16/05/2020,7803,Barcelona Ciutat,70-79,1,Dona,Positiu,1,2020-05-16
16/05/2020,7803,Barcelona Ciutat,40-49,0,Home,Sospitós,22,2020-05-16
