date,ccaa,cases,uci,deaths
2020-02-20,Andalucía,NA,NA,NA
2020-02-20,Aragón,NA,NA,NA
2020-02-20,Asturias,NA,NA,NA
2020-02-20,Baleares,1,NA,NA
2020-02-20,Canarias,1,NA,NA
2020-02-20,Cantabria,NA,NA,NA
2020-02-20,CLM,NA,NA,NA
2020-02-20,CyL,0,NA,NA
2020-02-20,Cataluña,0,NA,NA
2020-02-20,Ceuta,NA,NA,NA
2020-02-20,C. Valenciana,NA,0,NA
2020-02-20,Extremadura,NA,NA,NA
2020-02-20,Galicia,NA,NA,NA
2020-02-20,Madrid,NA,NA,NA
2020-02-20,Melilla,NA,NA,NA
2020-02-20,Murcia,NA,NA,NA
2020-02-20,Navarra,NA,NA,NA
2020-02-20,País Vasco,NA,NA,NA
2020-02-20,La Rioja,NA,NA,NA
2020-02-21,Andalucía,NA,NA,NA
2020-02-21,Aragón,NA,NA,NA
2020-02-21,Asturias,NA,NA,NA
2020-02-21,Baleares,1,NA,NA
2020-02-21,Canarias,1,NA,NA
2020-02-21,Cantabria,NA,NA,NA
2020-02-21,CLM,NA,NA,NA
2020-02-21,CyL,0,NA,NA
2020-02-21,Cataluña,0,NA,NA
2020-02-21,Ceuta,NA,NA,NA
2020-02-21,C. Valenciana,NA,1,NA
2020-02-21,Extremadura,NA,NA,NA
2020-02-21,Galicia,NA,NA,NA
2020-02-21,Madrid,NA,NA,NA
2020-02-21,Melilla,NA,NA,NA
2020-02-21,Murcia,NA,NA,NA
2020-02-21,Navarra,NA,NA,NA
2020-02-21,País Vasco,NA,NA,NA
2020-02-21,La Rioja,NA,NA,NA
2020-02-22,Andalucía,NA,NA,NA
2020-02-22,Aragón,NA,NA,NA
2020-02-22,Asturias,NA,NA,NA
2020-02-22,Baleares,1,NA,NA
2020-02-22,Canarias,1,NA,NA
2020-02-22,Cantabria,NA,NA,NA
2020-02-22,CLM,NA,NA,NA
2020-02-22,CyL,0,NA,NA
2020-02-22,Cataluña,0,NA,NA
2020-02-22,Ceuta,NA,NA,NA
2020-02-22,C. Valenciana,NA,1,NA
2020-02-22,Extremadura,NA,NA,NA
2020-02-22,Galicia,NA,NA,NA
2020-02-22,Madrid,NA,NA,NA
2020-02-22,Melilla,NA,NA,NA
2020-02-22,Murcia,NA,NA,NA
2020-02-22,Navarra,NA,NA,NA
2020-02-22,País Vasco,NA,NA,NA
2020-02-22,La Rioja,NA,NA,NA
2020-02-23,Andalucía,NA,NA,NA
2020-02-23,Aragón,NA,NA,NA
2020-02-23,Asturias,NA,NA,NA
2020-02-23,Baleares,1,NA,NA
2020-02-23,Canarias,1,NA,NA
2020-02-23,Cantabria,NA,NA,NA
2020-02-23,CLM,NA,NA,NA
2020-02-23,CyL,0,NA,NA
2020-02-23,Cataluña,0,NA,NA
2020-02-23,Ceuta,NA,NA,NA
2020-02-23,C. Valenciana,NA,2,NA
2020-02-23,Extremadura,NA,NA,NA
2020-02-23,Galicia,NA,NA,NA
2020-02-23,Madrid,NA,NA,NA
2020-02-23,Melilla,NA,NA,NA
2020-02-23,Murcia,NA,NA,NA
2020-02-23,Navarra,NA,NA,NA
2020-02-23,País Vasco,NA,NA,NA
2020-02-23,La Rioja,NA,NA,NA
2020-02-24,Andalucía,NA,NA,NA
2020-02-24,Aragón,NA,NA,NA
2020-02-24,Asturias,NA,NA,NA
2020-02-24,Baleares,1,NA,NA
2020-02-24,Canarias,2,NA,NA
2020-02-24,Cantabria,NA,NA,NA
2020-02-24,CLM,NA,NA,NA
2020-02-24,CyL,0,NA,NA
2020-02-24,Cataluña,0,NA,NA
2020-02-24,Ceuta,NA,NA,NA
2020-02-24,C. Valenciana,NA,2,NA
2020-02-24,Extremadura,NA,NA,NA
2020-02-24,Galicia,NA,NA,NA
2020-02-24,Madrid,NA,NA,NA
2020-02-24,Melilla,NA,NA,NA
2020-02-24,Murcia,NA,NA,NA
2020-02-24,Navarra,NA,NA,NA
2020-02-24,País Vasco,NA,NA,NA
2020-02-24,La Rioja,NA,NA,NA
2020-02-25,Andalucía,NA,NA,NA
2020-02-25,Aragón,NA,NA,NA
2020-02-25,Asturias,NA,NA,NA
2020-02-25,Baleares,1,NA,NA
2020-02-25,Canarias,5,NA,NA
2020-02-25,Cantabria,NA,NA,NA
2020-02-25,CLM,NA,NA,NA
2020-02-25,CyL,0,NA,NA
2020-02-25,Cataluña,1,NA,NA
2020-02-25,Ceuta,NA,NA,NA
2020-02-25,C. Valenciana,1,2,NA
2020-02-25,Extremadura,NA,NA,NA
2020-02-25,Galicia,NA,NA,NA
2020-02-25,Madrid,2,NA,NA
2020-02-25,Melilla,NA,NA,NA
2020-02-25,Murcia,NA,NA,NA
2020-02-25,Navarra,NA,NA,NA
2020-02-25,País Vasco,NA,NA,NA
2020-02-25,La Rioja,NA,NA,NA
2020-02-26,Andalucía,1,NA,NA
2020-02-26,Aragón,NA,NA,NA
2020-02-26,Asturias,NA,NA,NA
2020-02-26,Baleares,1,NA,NA
