ComarcaDescripcio,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21
Alt Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.247645591243173,2.247645591243173,0,4.495291182486346,2.247645591243173,6.742936773729519,4.495291182486346,26.971747094918076,6.742936773729519,4.495291182486346,8.990582364972692,4.495291182486346,6.742936773729519,53.94349418983615,8.990582364972692,8.990582364972692,2.247645591243173,4.495291182486346,6.742936773729519,2.247645591243173,2.247645591243173,6.742936773729519,4.495291182486346,4.495291182486346,11.238227956215864,2.247645591243173,0,4.495291182486346,0,8.990582364972692,8.990582364972692,4.495291182486346,0,0,4.495291182486346,2.247645591243173,8.990582364972692,2.247645591243173,2.247645591243173,2.247645591243173,2.247645591243173,0,2.247645591243173,0,2.247645591243173,2.247645591243173,0,0,0,0,2.247645591243173,0,2.247645591243173,0,0,0,0,0,17.981164729945384,2.247645591243173,2.247645591243173,0,0,0,0,0,0,0,0,0,0,2.247645591243173,2.247645591243173,0,0,0,0,2.247645591243173,2.247645591243173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.247645591243173,0,0,0,0,0,0,2.247645591243173,2.247645591243173,0,0,0,0,2.247645591243173,2.247645591243173,0,0,0,0,4.495291182486346,0,2.247645591243173,2.247645591243173,0,0,2.247645591243173,0,0,8.990582364972692,6.742936773729519,0,0,0,0,6.742936773729519,0,0,0,0,0,13.485873547459038,2.247645591243173,2.247645591243173,13.485873547459038,2.247645591243173,17.981164729945384,2.247645591243173,8.990582364972692,31.46703827740442,11.238227956215864,0,0
Alt Empordà ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7277649610281863,0.7277649610281863,0,1.4555299220563727,0.7277649610281863,0.7277649610281863,1.4555299220563727,2.183294883084559,1.4555299220563727,4.366589766169118,2.9110598441127453,3.6388248051409318,9.460944493366423,3.6388248051409318,5.822119688225491,14.555299220563727,11.644239376450981,3.6388248051409318,9.460944493366423,5.094354727197304,10.188709454394608,11.644239376450981,8.733179532338236,22.560713791873777,2.183294883084559,10.188709454394608,13.82753425953554,2.9110598441127453,4.366589766169118,7.2776496102818635,1.4555299220563727,8.00541457131005,2.183294883084559,2.183294883084559,9.460944493366423,7.2776496102818635,8.733179532338236,5.822119688225491,1.4555299220563727,5.094354727197304,5.094354727197304,8.00541457131005,14.555299220563727,15.283064181591914,5.822119688225491,2.183294883084559,5.094354727197304,9.460944493366423,3.6388248051409318,8.733179532338236,3.6388248051409318,0.7277649610281863,0,1.4555299220563727,2.183294883084559,32.0216582852402,13.099769298507354,2.9110598441127453,2.183294883084559,0.7277649610281863,5.822119688225491,5.094354727197304,3.6388248051409318,0.7277649610281863,6.549884649253677,0,2.9110598441127453,0.7277649610281863,0.7277649610281863,2.9110598441127453,2.9110598441127453,7.2776496102818635,4.366589766169118,0,0,2.9110598441127453,6.549884649253677,10.188709454394608,0.7277649610281863,5.822119688225491,0,0,0,0,7.2776496102818635,2.183294883084559,2.9110598441127453,0,0,1.4555299220563727,1.4555299220563727,0,1.4555299220563727,1.4555299220563727,0,0.7277649610281863,0.7277649610281863,4.366589766169118,1.4555299220563727,1.4555299220563727,0.7277649610281863,0,0,0,0,0,0,0,0,0,0,0.7277649610281863,1.4555299220563727,0,0.7277649610281863,0,0.7277649610281863,5.094354727197304,3.6388248051409318,9.460944493366423,11.644239376450981,18.19412402570466,0,1.4555299220563727,8.00541457131005,28.38283348009927,8.733179532338236,16.738594103648285,18.921888986732846,8.733179532338236,1.4555299220563727,13.82753425953554,32.0216582852402,33.47718820729657,41.482602778606626,10.916474415422794,22.560713791873777,10.916474415422794,21.105183869817402,25.471773635986523,29.83836340215564,21.105183869817402,21.105183869817402,2.9110598441127453,7.2776496102818635,12.372004337479167,14.555299220563727,11.644239376450981,20.377418908789217,8.733179532338236,0,3.6388248051409318,14.555299220563727,4.366589766169118,5.822119688225491,8.00541457131005,4.366589766169118,2.9110598441127453,2.183294883084559,9.460944493366423,8.00541457131005,1.4555299220563727,0.7277649610281863,0
Alt Penedès,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8898768745216248,0,0.9449384372608124,0.9449384372608124,0,4.724692186304062,3.7797537490432496,3.7797537490432496,4.724692186304062,7.559507498086499,10.394322809868937,7.559507498086499,2.834815311782437,8.504445935347313,14.174076558912187,4.724692186304062,9.449384372608124,16.06395343343381,11.339261247129748,14.174076558912187,8.504445935347313,11.339261247129748,19.84370718247706,17.95383030795544,16.06395343343381,27.403214680563565,8.504445935347313,17.95383030795544,56.69630623564875,87.87927466525556,59.531121547431184,22.678522494259497,13.229138121651374,4.724692186304062,15.119014996172998,3.7797537490432496,5.669630623564874,14.174076558912187,7.559507498086499,3.7797537490432496,4.724692186304062,7.559507498086499,5.669630623564874,13.229138121651374,2.834815311782437,12.284199684390563,0,0.9449384372608124,3.7797537490432496,5.669630623564874,7.559507498086499,10.394322809868937,8.504445935347313,2.834815311782437,0,6.614569060825687,2.834815311782437,0.9449384372608124,3.7797537490432496,5.669630623564874,4.724692186304062,0.9449384372608124,1.8898768745216248,3.7797537490432496,2.834815311782437,3.7797537490432496,3.7797537490432496,3.7797537490432496,0,5.669630623564874,6.614569060825687,6.614569060825687,6.614569060825687,11.339261247129748,0,0,1.8898768745216248,1.8898768745216248,3.7797537490432496,1.8898768745216248,0.9449384372608124,0.9449384372608124,0,0,2.834815311782437,0.9449384372608124,2.834815311782437,3.7797537490432496,0.9449384372608124,0,1.8898768745216248,1.8898768745216248,1.8898768745216248,6.614569060825687,0,0,0,0.9449384372608124,0,1.8898768745216248,0.9449384372608124,0.9449384372608124,0,0,0,0,1.8898768745216248,0.9449384372608124,2.834815311782437,0,0,0,1.8898768745216248,0.9449384372608124,0.9449384372608124,0.9449384372608124,0,0,2.834815311782437,1.8898768745216248,4.724692186304062,2.834815311782437,3.7797537490432496,0,0,1.8898768745216248,3.7797537490432496,9.449384372608124,4.724692186304062,12.284199684390563,1.8898768745216248,1.8898768745216248,0.9449384372608124,7.559507498086499,7.559507498086499,9.449384372608124,16.06395343343381,8.504445935347313,3.7797537490432496,3.7797537490432496,24.568399368781126,14.174076558912187,11.339261247129748,11.339261247129748,0.9449384372608124,0,9.449384372608124,15.119014996172998,7.559507498086499,11.339261247129748,16.06395343343381,4.724692186304062,6.614569060825687,4.724692186304062,4.724692186304062,10.394322809868937,9.449384372608124,10.394322809868937,0.9449384372608124,4.724692186304062,5.669630623564874,12.284199684390563,12.284199684390563,2.834815311782437,1.8898768745216248
Alt Urgell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.880667675337986,0,0,0,0,4.880667675337986,4.880667675337986,0,9.761335350675973,9.761335350675973,4.880667675337986,9.761335350675973,4.880667675337986,43.92600907804187,4.880667675337986,9.761335350675973,9.761335350675973,0,14.642003026013958,0,19.522670701351945,9.761335350675973,0,4.880667675337986,4.880667675337986,0,9.761335350675973,4.880667675337986,9.761335350675973,9.761335350675973,0,0,0,9.761335350675973,0,14.642003026013958,4.880667675337986,0,0,0,0,0,0,9.761335350675973,0,0,4.880667675337986,0,0,0,0,0,0,0,0,0,0,0,4.880667675337986,0,0,0,0,0,0,0,0,4.880667675337986,0,0,4.880667675337986,0,4.880667675337986,4.880667675337986,0,9.761335350675973,9.761335350675973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.880667675337986,0,0,0,0,0,0,0,0,4.880667675337986,0,0,0,0,0,107.37468885743569,0,4.880667675337986,0,0,0,0,0,0,0,0,0,4.880667675337986,4.880667675337986,14.642003026013958,4.880667675337986,4.880667675337986,0,0,0,0,9.761335350675973,0,0,0,0,0,4.880667675337986,0,0,0,0,0,19.522670701351945,0,19.522670701351945,19.522670701351945,39.04534140270389,24.40333837668993,9.761335350675973,24.40333837668993,14.642003026013958,9.761335350675973,0,0
Alta Ribagorça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.86979415988511,23.934897079942555,0,23.934897079942555,0,0,23.934897079942555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.934897079942555,0,0,0,0,23.934897079942555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.934897079942555,0,0,23.934897079942555,0,0,0,0,0,0,23.934897079942555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.86979415988511,0,0,0,23.934897079942555,47.86979415988511,0,0,0,0,0,0,0,0,0,23.934897079942555,0,71.80469123982766,71.80469123982766,23.934897079942555,71.80469123982766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.713370703367556,3.4024310369759196,10.207293110927758,18.713370703367556,12.759116388659699,26.368840536563372,10.207293110927758,14.460331907147658,28.070056055051335,47.63403451766287,24.667625018075412,15.310939666391638,47.63403451766287,17.012155184879596,25.518232777319398,20.414586221855515,125.88994836810902,28.070056055051335,42.53038796219899,20.414586221855515,34.02431036975919,34.02431036975919,35.72552588824715,27.219448295807357,36.57613364749113,17.012155184879596,0,33.173702610515214,28.070056055051335,28.920663814295317,39.127956925223074,19.563978462611537,10.207293110927758,16.161547425635614,15.310939666391638,28.920663814295317,27.219448295807357,22.115801740343475,11.057900870171737,0.8506077592439799,11.908508629415717,8.506077592439798,18.713370703367556,10.207293110927758,11.057900870171737,2.5518232777319394,1.7012155184879598,0.8506077592439799,7.655469833195819,4.253038796219899,13.609724147903679,7.655469833195819,5.954254314707859,0,0.8506077592439799,27.219448295807357,20.414586221855515,8.506077592439798,2.5518232777319394,4.253038796219899,0.8506077592439799,1.7012155184879598,4.253038796219899,1.7012155184879598,2.5518232777319394,5.103646555463879,5.103646555463879,2.5518232777319394,0,6.804862073951839,3.4024310369759196,5.954254314707859,11.908508629415717,5.103646555463879,0.8506077592439799,0,2.5518232777319394,8.506077592439798,1.7012155184879598,2.5518232777319394,5.954254314707859,2.5518232777319394,0,1.7012155184879598,3.4024310369759196,4.253038796219899,0.8506077592439799,4.253038796219899,2.5518232777319394,0,5.954254314707859,1.7012155184879598,2.5518232777319394,4.253038796219899,3.4024310369759196,0.8506077592439799,0.8506077592439799,0.8506077592439799,0.8506077592439799,2.5518232777319394,1.7012155184879598,0.8506077592439799,0,0.8506077592439799,0.8506077592439799,0.8506077592439799,0,2.5518232777319394,2.5518232777319394,2.5518232777319394,0,0.8506077592439799,1.7012155184879598,3.4024310369759196,3.4024310369759196,3.4024310369759196,0,0,2.5518232777319394,0.8506077592439799,4.253038796219899,4.253038796219899,2.5518232777319394,1.7012155184879598,1.7012155184879598,22.966409499587456,29.771271573539295,32.32309485127123,16.161547425635614,22.966409499587456,5.103646555463879,2.5518232777319394,23.817017258831434,30.621879332783276,28.070056055051335,21.265193981099497,25.518232777319398,2.5518232777319394,1.7012155184879598,21.265193981099497,9.356685351683778,12.759116388659699,12.759116388659699,8.506077592439798,1.7012155184879598,4.253038796219899,3.4024310369759196,5.954254314707859,3.4024310369759196,9.356685351683778,4.253038796219899,1.7012155184879598,5.954254314707859,3.4024310369759196,7.655469833195819,5.103646555463879,4.253038796219899,3.4024310369759196,0.8506077592439799,7.655469833195819,5.103646555463879,2.5518232777319394,9.356685351683778,2.5518232777319394,0.8506077592439799
Aran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.259768677711783,31.259768677711783,0,10.419922892570595,0,52.099614462852976,62.519537355423566,20.83984578514119,62.519537355423566,41.67969157028238,52.099614462852976,41.67969157028238,104.19922892570595,0,20.83984578514119,31.259768677711783,10.419922892570595,0,10.419922892570595,0,10.419922892570595,20.83984578514119,0,10.419922892570595,20.83984578514119,10.419922892570595,20.83984578514119,0,10.419922892570595,10.419922892570595,20.83984578514119,0,41.67969157028238,41.67969157028238,31.259768677711783,41.67969157028238,52.099614462852976,0,0,10.419922892570595,0,10.419922892570595,0,0,0,0,10.419922892570595,0,0,0,0,0,0,0,0,0,0,0,10.419922892570595,0,0,0,0,0,0,0,31.259768677711783,0,10.419922892570595,0,10.419922892570595,0,0,0,10.419922892570595,0,0,0,0,0,0,20.83984578514119,0,0,0,10.419922892570595,0,0,0,0,0,0,0,0,20.83984578514119,20.83984578514119,0,31.259768677711783,0,31.259768677711783,0,0,0,0,0,10.419922892570595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.419922892570595,0,0,0,0,0,0,20.83984578514119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83984578514119,0,20.83984578514119,0,0,0,0,0
Bages,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566613971567311,0,0,0.566613971567311,0.566613971567311,1.133227943134622,1.133227943134622,2.266455886269244,9.632437516644286,10.199051488211596,24.36440077739437,18.13164709015395,12.46550737448084,22.664558862692438,3.9662978009711765,28.330698578365542,31.1637684362021,27.197470635230925,26.0642426920963,19.831489004855882,64.02737878710614,36.82990815187521,45.329117725384876,24.36440077739437,36.82990815187521,19.264875033288572,17.565033118586637,33.99683829403865,26.630856663663614,41.929433895981006,39.662978009711765,29.463926521500166,30.030540493067477,15.298577232317394,16.431805175452016,27.197470635230925,19.831489004855882,20.964716947990503,54.961555242029164,29.463926521500166,41.929433895981006,9.065823545076976,28.330698578365542,33.99683829403865,30.597154464634787,11.332279431346219,29.463926521500166,5.099525744105798,2.266455886269244,7.365981630375042,8.499209573509663,3.3996838294038656,6.799367658807731,5.099525744105798,0.566613971567311,1.133227943134622,2.8330698578365547,3.3996838294038656,6.799367658807731,1.133227943134622,6.23275368724042,0.566613971567311,1.133227943134622,3.9662978009711765,3.3996838294038656,3.9662978009711765,7.365981630375042,1.6998419147019328,0.566613971567311,0,1.133227943134622,3.9662978009711765,2.266455886269244,2.266455886269244,3.3996838294038656,4.532911772538488,1.133227943134622,4.532911772538488,9.065823545076976,8.499209573509663,4.532911772538488,5.6661397156731095,1.6998419147019328,0,2.8330698578365547,6.799367658807731,4.532911772538488,4.532911772538488,7.932595601942353,1.133227943134622,1.6998419147019328,3.3996838294038656,5.6661397156731095,6.799367658807731,6.23275368724042,7.365981630375042,0,0.566613971567311,0.566613971567311,5.6661397156731095,3.3996838294038656,3.9662978009711765,4.532911772538488,0,0,0,5.099525744105798,1.133227943134622,1.133227943134622,5.6661397156731095,0.566613971567311,0,6.799367658807731,5.6661397156731095,3.3996838294038656,4.532911772538488,4.532911772538488,5.099525744105798,1.133227943134622,2.266455886269244,14.165349289182771,1.6998419147019328,3.3996838294038656,5.099525744105798,0.566613971567311,0.566613971567311,9.632437516644286,18.698261061721258,16.998419147019327,19.831489004855882,23.231172834259745,1.133227943134622,1.6998419147019328,14.731963260750083,28.330698578365542,17.565033118586637,16.431805175452016,13.03212134604815,0,0.566613971567311,7.365981630375042,25.49762872052899,8.499209573509663,11.332279431346219,9.065823545076976,3.3996838294038656,1.6998419147019328,9.065823545076976,11.332279431346219,7.365981630375042,5.099525744105798,4.532911772538488,1.133227943134622,1.133227943134622,6.23275368724042,9.065823545076976,2.8330698578365547,9.065823545076976,9.065823545076976,3.3996838294038656,1.133227943134622,6.23275368724042,7.365981630375042,5.099525744105798,13.598735317615462,1.6998419147019328
Baix Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5225015283169704,1.0450030566339408,0,1.0450030566339408,1.0450030566339408,0.5225015283169704,3.135009169901822,3.135009169901822,5.7475168114866735,1.567504584950911,2.612507641584852,3.657510698218792,3.135009169901822,6.270018339803644,3.657510698218792,7.8375229247545555,6.792519868120614,6.270018339803644,1.567504584950911,6.270018339803644,2.612507641584852,3.135009169901822,4.180012226535763,12.017535151290318,2.612507641584852,2.0900061132678815,4.180012226535763,1.567504584950911,2.0900061132678815,1.567504584950911,3.657510698218792,1.0450030566339408,1.0450030566339408,2.0900061132678815,2.0900061132678815,4.702513754852733,5.7475168114866735,1.567504584950911,0.5225015283169704,1.0450030566339408,3.135009169901822,2.612507641584852,2.0900061132678815,1.0450030566339408,1.567504584950911,0.5225015283169704,0,1.567504584950911,0.5225015283169704,0.5225015283169704,0,0.5225015283169704,0.5225015283169704,0,0.5225015283169704,1.567504584950911,1.0450030566339408,0.5225015283169704,1.0450030566339408,0,0,0.5225015283169704,1.567504584950911,0.5225015283169704,1.567504584950911,1.0450030566339408,0.5225015283169704,0,12.540036679607288,0.5225015283169704,0,0.5225015283169704,1.0450030566339408,0,0,1.0450030566339408,1.0450030566339408,2.612507641584852,2.612507641584852,1.567504584950911,0.5225015283169704,0,1.0450030566339408,2.0900061132678815,0.5225015283169704,1.567504584950911,0,0.5225015283169704,0,1.0450030566339408,0.5225015283169704,1.567504584950911,1.567504584950911,1.0450030566339408,0,0,1.0450030566339408,0,0,0.5225015283169704,0.5225015283169704,0,0,0,0.5225015283169704,0,0,0,0,0,0,0,0,0,1.0450030566339408,0.5225015283169704,1.0450030566339408,0.5225015283169704,0.5225015283169704,0,1.0450030566339408,0,0.5225015283169704,0,2.0900061132678815,1.567504584950911,4.702513754852733,0.5225015283169704,2.612507641584852,0.5225015283169704,1.567504584950911,2.0900061132678815,3.657510698218792,6.270018339803644,8.360024453071526,5.7475168114866735,4.180012226535763,2.0900061132678815,2.612507641584852,2.0900061132678815,5.225015283169704,2.0900061132678815,6.792519868120614,5.7475168114866735,2.612507641584852,4.702513754852733,3.657510698218792,5.225015283169704,3.657510698218792,5.7475168114866735,4.702513754852733,7.315021396437584,7.8375229247545555,10.450030566339407,10.450030566339407,9.927529038022435,20.900061132678815,15.152544321192138,9.405027509705466,13.585039736241228,22.467565717629725,20.900061132678815,3.135009169901822,1.0450030566339408
Baix Ebre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1338403974728575,3.680304238483715,1.2267680794945715,0,0,2.453536158989143,0,4.907072317978286,1.2267680794945715,2.453536158989143,2.453536158989143,1.2267680794945715,9.814144635956572,14.72121695393486,1.2267680794945715,6.1338403974728575,2.453536158989143,2.453536158989143,1.2267680794945715,1.2267680794945715,3.680304238483715,3.680304238483715,1.2267680794945715,3.680304238483715,2.453536158989143,2.453536158989143,3.680304238483715,6.1338403974728575,4.907072317978286,2.453536158989143,0,3.680304238483715,6.1338403974728575,4.907072317978286,6.1338403974728575,1.2267680794945715,2.453536158989143,1.2267680794945715,3.680304238483715,0,0,1.2267680794945715,3.680304238483715,1.2267680794945715,1.2267680794945715,0,0,0,0,0,0,0,0,0,0,1.2267680794945715,1.2267680794945715,3.680304238483715,1.2267680794945715,1.2267680794945715,0,0,1.2267680794945715,1.2267680794945715,0,0,0,0,0,0,0,1.2267680794945715,0,0,0,0,0,1.2267680794945715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.680304238483715,2.453536158989143,2.453536158989143,1.2267680794945715,1.2267680794945715,0,2.453536158989143,0,4.907072317978286,2.453536158989143,0,1.2267680794945715,4.907072317978286,3.680304238483715,3.680304238483715,7.36060847696743,13.494448874440288,4.907072317978286,4.907072317978286,2.453536158989143,9.814144635956572,11.040912715451144,14.72121695393486,3.680304238483715,2.453536158989143,3.680304238483715,4.907072317978286,7.36060847696743,9.814144635956572,12.267680794945715,19.628289271913143,3.680304238483715,4.907072317978286,6.1338403974728575,12.267680794945715,12.267680794945715,1.2267680794945715,4.907072317978286,2.453536158989143,1.2267680794945715,9.814144635956572,20.855057351407716,6.1338403974728575,2.453536158989143,31.895970066858858,7.36060847696743,4.907072317978286,0,12.267680794945715,3.680304238483715,6.1338403974728575,0
