Category: All categories

Day,olfato: (Catalonia)
2020-01-05,11
2020-01-06,0
2020-01-07,0
2020-01-08,9
2020-01-09,9
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,8
2020-01-15,9
2020-01-16,0
2020-01-17,9
2020-01-18,10
2020-01-19,9
2020-01-20,8
2020-01-21,0
2020-01-22,8
2020-01-23,0
2020-01-24,19
2020-01-25,0
2020-01-26,10
2020-01-27,8
2020-01-28,0
2020-01-29,9
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,21
2020-02-03,0
2020-02-04,9
2020-02-05,9
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,10
2020-02-10,9
2020-02-11,13
2020-02-12,9
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,10
2020-02-17,8
2020-02-18,0
2020-02-19,0
2020-02-20,9
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,8
2020-02-27,0
2020-02-28,9
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,8
2020-03-05,8
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,8
2020-03-11,24
2020-03-12,8
2020-03-13,9
2020-03-14,20
2020-03-15,0
2020-03-16,0
2020-03-17,30
2020-03-18,47
2020-03-19,83
2020-03-20,63
2020-03-21,98
2020-03-22,65
2020-03-23,100
2020-03-24,57
2020-03-25,40
2020-03-26,65
2020-03-27,35
2020-03-28,28
2020-03-29,42
2020-03-30,27
2020-03-31,23
2020-04-01,19
2020-04-02,16
2020-04-03,21
